TransactionID,AccountID,LoanID,Amount,TransactionDate,TransactionType,Status,Branch,Description
TXN0041,ACC0034,LOAN0166,1823.37,2024-01-05,Payment,Completed,Westside,Online payment
TXN0042,ACC0182,LOAN0165,4295.69,2024-07-11,Disbursement,Failed,Airport,Auto loan
TXN0043,ACC0056,LOAN0120,6804.24,2024-11-15,Disbursement,Completed,Midtown,New loan disbursed
TXN0044,ACC0131,LOAN0170,5658.43,2024-10-31,Disbursement,Completed,Westside,New loan disbursed
TXN0045,ACC0124,LOAN0017,9884.77,2024-11-23,Disbursement,Completed,Westside,Auto loan
TXN0046,ACC0168,LOAN0183,1964.76,2024-09-21,Disbursement,Completed,Downtown,Personal loan
TXN0047,ACC0104,LOAN0170,6839.48,2024-01-14,Disbursement,Completed,Westside,Auto loan
TXN0048,ACC0108,LOAN0104,7393.65,2024-10-25,Disbursement,Completed,Eastside,Auto loan
TXN0049,ACC0186,LOAN0183,2074.64,2024-11-22,Payment,Completed,Northside,Online payment
TXN0050,ACC0077,LOAN0044,916.66,2024-08-29,Payment,Completed,Westside,Online payment
TXN0051,ACC0144,LOAN0196,2843.42,2024-06-20,Payment,Completed,Eastside,Auto-pay loan payment
TXN0052,ACC0058,LOAN0191,4262.68,2024-06-18,Disbursement,Completed,Westside,Business loan
TXN0053,ACC0031,LOAN0121,2605.86,2024-10-25,Payment,Completed,Midtown,Auto-pay loan payment
TXN0054,ACC0050,LOAN0129,2609.12,2024-07-14,Payment,Completed,Southside,Monthly loan payment
TXN0055,ACC0039,LOAN0036,1060.88,2024-10-18,Payment,Failed,Airport,Monthly loan payment
TXN0056,ACC0081,LOAN0184,2347.88,2024-09-06,Payment,Completed,Uptown,Auto-pay loan payment
TXN0057,ACC0163,LOAN0015,1383.56,2024-04-17,Payment,Completed,Uptown,Online payment
TXN0058,ACC0196,LOAN0041,7873.59,2024-02-15,Disbursement,Completed,Southside,Business loan
TXN0059,ACC0104,LOAN0110,3894.83,2024-01-20,Disbursement,Completed,Northside,New loan disbursed
TXN0060,ACC0083,LOAN0194,102.85,2024-01-03,Payment,Completed,Eastside,Monthly loan payment
TXN0061,ACC0178,LOAN0089,1376.41,2024-07-15,Disbursement,Completed,Westside,Home improvement loan
TXN0062,ACC0017,LOAN0012,9489.79,2024-08-21,Disbursement,Completed,Northside,Business loan
TXN0063,ACC0176,LOAN0035,9961.78,2024-09-07,Disbursement,Completed,Eastside,Home improvement loan
TXN0064,ACC0104,LOAN0005,711.75,2024-03-08,Payment,Completed,Downtown,Online payment
TXN0065,ACC0130,LOAN0044,1131.44,2024-11-29,Payment,Completed,Southside,Online payment
TXN0066,ACC0066,LOAN0198,1802.08,2024-01-25,Payment,Completed,Downtown,Monthly loan payment
TXN0067,ACC0177,LOAN0030,4498.71,2024-03-04,Disbursement,Completed,Airport,Home improvement loan
TXN0068,ACC0053,LOAN0178,938.29,2024-12-04,Payment,Completed,Westside,Online payment
TXN0069,ACC0156,LOAN0180,1285.54,2024-02-23,Payment,Completed,Midtown,Auto-pay loan payment
TXN0070,ACC0030,LOAN0028,2066.6,2024-04-12,Disbursement,Completed,Eastside,Auto loan
TXN0071,ACC0181,LOAN0105,1687.7,2024-10-07,Disbursement,Completed,Eastside,Business loan
TXN0072,ACC0085,LOAN0061,87.61,2024-02-15,Payment,Failed,Airport,Monthly loan payment
TXN0073,ACC0024,LOAN0200,2184.51,2024-02-21,Payment,Failed,Eastside,Auto-pay loan payment
TXN0074,ACC0076,LOAN0068,595.79,2024-03-30,Disbursement,Failed,Westside,Auto loan
TXN0075,ACC0174,LOAN0081,7411.55,2024-02-18,Disbursement,Failed,Downtown,New loan disbursed
TXN0076,ACC0036,LOAN0170,1019.55,2024-08-12,Payment,Failed,Westside,Online payment
TXN0077,ACC0024,LOAN0096,1910.41,2024-07-24,Disbursement,Completed,Airport,Auto loan
TXN0078,ACC0099,LOAN0177,8019.0,2024-11-28,Disbursement,Failed,Uptown,New loan disbursed
TXN0079,ACC0034,LOAN0179,2945.63,2024-03-22,Payment,Completed,Airport,Online payment
TXN0080,ACC0174,LOAN0113,1853.4,2024-07-02,Payment,Completed,Uptown,Auto-pay loan payment
TXN0081,ACC0125,LOAN0029,4462.81,2024-02-02,Disbursement,Completed,Northside,New loan disbursed
TXN0082,ACC0181,LOAN0174,2934.79,2024-12-08,Payment,Failed,Midtown,Auto-pay loan payment
TXN0083,ACC0170,LOAN0187,1471.69,2024-12-05,Payment,Completed,Southside,Monthly loan payment
TXN0084,ACC0143,LOAN0157,84.35,2024-03-21,Payment,Completed,Airport,Auto-pay loan payment
TXN0085,ACC0043,LOAN0020,3274.27,2024-06-18,Disbursement,Failed,Downtown,Personal loan
TXN0086,ACC0058,LOAN0141,4092.44,2024-04-30,Disbursement,Completed,Airport,Personal loan
TXN0087,ACC0115,LOAN0023,4525.97,2024-03-01,Disbursement,Failed,Downtown,New loan disbursed
TXN0088,ACC0104,LOAN0106,1693.54,2024-01-01,Payment,Completed,Westside,Online payment
TXN0089,ACC0144,LOAN0053,9508.52,2024-07-05,Disbursement,Completed,Eastside,Business loan
TXN0090,ACC0085,LOAN0144,7194.91,2024-07-05,Disbursement,Completed,Midtown,New loan disbursed
TXN0091,ACC0195,LOAN0169,56.48,2024-06-30,Payment,Completed,Westside,Online payment
TXN0092,ACC0134,LOAN0096,185.05,2024-03-25,Payment,Completed,Southside,Monthly loan payment
TXN0093,ACC0066,LOAN0157,603.25,2024-07-20,Payment,Completed,Eastside,Online payment
TXN0094,ACC0087,LOAN0028,560.35,2024-11-20,Disbursement,Completed,Midtown,Business loan
TXN0095,ACC0118,LOAN0169,2893.37,2024-01-03,Payment,Completed,Downtown,Online payment
TXN0096,ACC0111,LOAN0150,9251.27,2024-03-31,Disbursement,Completed,Uptown,Home improvement loan
TXN0097,ACC0027,LOAN0100,5090.69,2024-07-15,Disbursement,Completed,Eastside,Auto loan
TXN0098,ACC0102,LOAN0088,4583.17,2024-03-09,Disbursement,Completed,Westside,Personal loan
TXN0099,ACC0081,LOAN0183,642.62,2024-11-15,Payment,Completed,Northside,Online payment
TXN0100,ACC0034,LOAN0182,1536.49,2024-12-21,Payment,Completed,Midtown,Auto-pay loan payment
TXN0101,ACC0144,LOAN0123,6775.01,2024-09-30,Disbursement,Completed,Southside,New loan disbursed
TXN0102,ACC0134,LOAN0028,1173.57,2024-01-28,Payment,Completed,Eastside,Auto-pay loan payment
TXN0103,ACC0193,LOAN0042,6865.56,2024-03-15,Disbursement,Completed,Westside,Home improvement loan
TXN0104,ACC0193,LOAN0139,1108.11,2024-08-19,Payment,Completed,Eastside,Online payment
TXN0105,ACC0166,LOAN0144,2452.2,2024-12-22,Disbursement,Completed,Downtown,Business loan
TXN0106,ACC0100,LOAN0107,9661.75,2024-01-28,Disbursement,Completed,Westside,Home improvement loan
TXN0107,ACC0159,LOAN0200,8316.84,2024-11-20,Disbursement,Completed,Northside,Personal loan
TXN0108,ACC0140,LOAN0190,2339.63,2024-04-09,Payment,Completed,Uptown,Online payment
TXN0109,ACC0020,LOAN0048,2218.48,2024-03-02,Payment,Completed,Southside,Auto-pay loan payment
TXN0110,ACC0143,LOAN0068,524.74,2024-05-10,Payment,Completed,Airport,Online payment
TXN0111,ACC0040,LOAN0011,2789.45,2024-11-01,Payment,Completed,Westside,Auto-pay loan payment
TXN0112,ACC0147,LOAN0141,821.52,2024-12-28,Disbursement,Completed,Eastside,Home improvement loan
TXN0113,ACC0134,LOAN0018,1277.0,2024-10-01,Payment,Completed,Northside,Monthly loan payment
TXN0114,ACC0055,LOAN0170,3377.56,2024-05-30,Disbursement,Completed,Airport,Personal loan
TXN0115,ACC0193,LOAN0167,388.43,2024-06-26,Payment,Completed,Eastside,Monthly loan payment
TXN0116,ACC0175,LOAN0083,9167.73,2024-02-28,Disbursement,Completed,Westside,New loan disbursed
TXN0117,ACC0133,LOAN0198,5191.66,2024-09-17,Disbursement,Completed,Downtown,Auto loan
TXN0118,ACC0167,LOAN0050,5187.56,2024-02-19,Disbursement,Completed,Downtown,New loan disbursed
TXN0119,ACC0054,LOAN0172,2601.61,2024-08-05,Payment,Completed,Eastside,Online payment
TXN0120,ACC0180,LOAN0190,6500.96,2024-02-06,Disbursement,Completed,Uptown,New loan disbursed
TXN0121,ACC0118,LOAN0184,475.07,2024-02-07,Disbursement,Completed,Westside,Personal loan
TXN0122,ACC0019,LOAN0148,2737.41,2024-07-27,Payment,Completed,Southside,Auto-pay loan payment
TXN0123,ACC0081,LOAN0005,6765.66,2024-09-30,Disbursement,Completed,Midtown,Personal loan
TXN0124,ACC0012,LOAN0180,1105.22,2024-09-14,Payment,Completed,Westside,Online payment
TXN0125,ACC0023,LOAN0073,3875.99,2024-12-04,Disbursement,Completed,Uptown,Personal loan
TXN0126,ACC0057,LOAN0035,7988.03,2024-10-06,Disbursement,Completed,Uptown,Auto loan
TXN0127,ACC0174,LOAN0187,9578.18,2024-01-06,Disbursement,Completed,Uptown,New loan disbursed
TXN0128,ACC0011,LOAN0002,5417.81,2024-02-13,Disbursement,Completed,Northside,Home improvement loan
TXN0129,ACC0106,LOAN0166,524.82,2024-04-23,Payment,Completed,Westside,Monthly loan payment
TXN0130,ACC0030,LOAN0047,2561.59,2024-10-08,Payment,Completed,Midtown,Auto-pay loan payment
TXN0131,ACC0172,LOAN0018,1072.2,2024-10-24,Disbursement,Completed,Northside,Auto loan
TXN0132,ACC0033,LOAN0172,345.13,2024-11-13,Payment,Completed,Eastside,Auto-pay loan payment
TXN0133,ACC0125,LOAN0116,6201.79,2024-06-05,Disbursement,Completed,Uptown,Personal loan
TXN0134,ACC0146,LOAN0094,9590.72,2024-03-27,Disbursement,Completed,Eastside,Home improvement loan
TXN0135,ACC0183,LOAN0190,2839.13,2024-07-03,Disbursement,Completed,Northside,Business loan
TXN0136,ACC0119,LOAN0115,7770.19,2024-09-06,Disbursement,Completed,Uptown,Personal loan
TXN0137,ACC0021,LOAN0072,2679.33,2024-04-10,Payment,Completed,Midtown,Online payment
TXN0138,ACC0020,LOAN0005,2447.3,2024-10-23,Payment,Completed,Eastside,Monthly loan payment
TXN0139,ACC0142,LOAN0067,6573.69,2024-03-17,Disbursement,Completed,Eastside,Personal loan
TXN0140,ACC0188,LOAN0075,1420.87,2024-09-18,Payment,Completed,Northside,Online payment
TXN0141,ACC0003,LOAN0170,2551.55,2024-11-10,Payment,Completed,Uptown,Auto-pay loan payment
TXN0142,ACC0041,LOAN0046,2220.96,2024-09-04,Payment,Failed,Downtown,Monthly loan payment
TXN0143,ACC0195,LOAN0125,235.44,2024-07-08,Payment,Completed,Eastside,Online payment
TXN0144,ACC0093,LOAN0100,9187.23,2024-01-24,Disbursement,Completed,Northside,New loan disbursed
TXN0145,ACC0181,LOAN0134,8365.24,2024-05-14,Disbursement,Completed,Uptown,Business loan
TXN0146,ACC0168,LOAN0097,5918.02,2024-02-09,Disbursement,Completed,Southside,Home improvement loan
TXN0147,ACC0133,LOAN0104,8190.64,2024-06-25,Disbursement,Completed,Airport,Personal loan
TXN0148,ACC0002,LOAN0129,1347.7,2024-04-27,Payment,Completed,Westside,Monthly loan payment
TXN0149,ACC0039,LOAN0048,1118.56,2024-03-01,Payment,Completed,Southside,Auto-pay loan payment
TXN0150,ACC0185,LOAN0030,6784.77,2024-09-02,Disbursement,Completed,Uptown,Business loan
TXN0151,ACC0006,LOAN0063,427.26,2024-10-30,Payment,Completed,Downtown,Online payment
TXN0152,ACC0038,LOAN0015,811.87,2024-04-02,Payment,Completed,Southside,Online payment
TXN0153,ACC0145,LOAN0164,2641.6,2024-12-04,Payment,Completed,Midtown,Monthly loan payment
TXN0154,ACC0115,LOAN0156,8686.29,2024-03-28,Disbursement,Completed,Southside,Personal loan
TXN0155,ACC0037,LOAN0150,1888.47,2024-09-18,Payment,Completed,Northside,Auto-pay loan payment
TXN0156,ACC0153,LOAN0152,727.95,2024-07-16,Payment,Completed,Downtown,Monthly loan payment
TXN0157,ACC0134,LOAN0130,8282.49,2024-11-06,Disbursement,Completed,Airport,Personal loan
TXN0158,ACC0154,LOAN0010,324.91,2024-12-03,Payment,Completed,Downtown,Online payment
TXN0159,ACC0167,LOAN0111,3766.74,2024-01-23,Disbursement,Completed,Southside,Home improvement loan
TXN0160,ACC0124,LOAN0197,3570.13,2024-12-22,Disbursement,Completed,Southside,Home improvement loan
TXN0161,ACC0066,LOAN0123,2734.75,2024-02-12,Payment,Completed,Southside,Auto-pay loan payment
TXN0162,ACC0049,LOAN0002,1755.06,2024-03-01,Payment,Completed,Southside,Online payment
TXN0163,ACC0053,LOAN0177,4147.57,2024-02-24,Disbursement,Completed,Westside,Auto loan
TXN0164,ACC0138,LOAN0109,6157.62,2024-12-14,Disbursement,Completed,Eastside,Business loan
TXN0165,ACC0142,LOAN0143,1869.32,2024-10-13,Disbursement,Completed,Westside,Auto loan
TXN0166,ACC0148,LOAN0089,7384.25,2024-12-03,Disbursement,Completed,Eastside,Business loan
TXN0167,ACC0180,LOAN0042,682.65,2024-07-24,Payment,Completed,Downtown,Monthly loan payment
TXN0168,ACC0100,LOAN0163,2422.89,2024-03-15,Payment,Completed,Southside,Monthly loan payment
TXN0169,ACC0017,LOAN0068,1143.96,2024-11-07,Payment,Completed,Southside,Auto-pay loan payment
TXN0170,ACC0158,LOAN0168,7144.9,2024-11-01,Disbursement,Completed,Uptown,Business loan
TXN0171,ACC0113,LOAN0003,2559.17,2024-09-22,Payment,Completed,Downtown,Online payment
TXN0172,ACC0131,LOAN0133,1864.81,2024-12-11,Payment,Completed,Eastside,Online payment
TXN0173,ACC0001,LOAN0041,2990.61,2024-07-23,Payment,Completed,Southside,Auto-pay loan payment
TXN0174,ACC0151,LOAN0052,2223.93,2024-02-05,Payment,Failed,Westside,Online payment
TXN0175,ACC0144,LOAN0150,3540.0,2024-05-21,Disbursement,Completed,Eastside,Business loan
TXN0176,ACC0104,LOAN0148,820.27,2024-07-27,Payment,Completed,Midtown,Online payment
TXN0177,ACC0076,LOAN0088,2418.68,2024-05-11,Payment,Failed,Westside,Online payment
TXN0178,ACC0114,LOAN0097,7722.68,2024-06-22,Disbursement,Failed,Airport,Business loan
TXN0179,ACC0151,LOAN0008,1251.06,2024-02-04,Disbursement,Completed,Eastside,Home improvement loan
TXN0180,ACC0081,LOAN0106,5213.39,2024-01-05,Disbursement,Completed,Westside,Home improvement loan
TXN0181,ACC0074,LOAN0024,6769.61,2024-06-24,Disbursement,Completed,Uptown,Business loan
TXN0182,ACC0081,LOAN0091,2688.23,2024-05-17,Payment,Completed,Eastside,Auto-pay loan payment
TXN0183,ACC0189,LOAN0052,2219.52,2024-05-15,Payment,Completed,Eastside,Monthly loan payment
TXN0184,ACC0159,LOAN0092,2347.87,2024-03-02,Payment,Failed,Airport,Online payment
TXN0185,ACC0002,LOAN0196,2551.63,2024-07-09,Payment,Completed,Airport,Online payment
TXN0186,ACC0071,LOAN0126,2953.96,2024-09-18,Payment,Completed,Eastside,Online payment
TXN0187,ACC0033,LOAN0014,4835.37,2024-10-03,Disbursement,Completed,Northside,Business loan
TXN0188,ACC0176,LOAN0199,1398.73,2024-03-02,Payment,Completed,Airport,Auto-pay loan payment
TXN0189,ACC0177,LOAN0003,2038.6,2024-07-13,Payment,Completed,Northside,Auto-pay loan payment
TXN0190,ACC0157,LOAN0067,1668.26,2024-05-01,Payment,Completed,Northside,Auto-pay loan payment
TXN0191,ACC0048,LOAN0128,2184.27,2024-12-24,Disbursement,Completed,Northside,Business loan
TXN0192,ACC0072,LOAN0116,1735.66,2024-10-21,Payment,Completed,Midtown,Online payment
TXN0193,ACC0070,LOAN0061,8577.46,2024-04-10,Disbursement,Completed,Uptown,Business loan
TXN0194,ACC0003,LOAN0046,5046.02,2024-11-18,Disbursement,Completed,Northside,Business loan
TXN0195,ACC0077,LOAN0065,1225.29,2024-12-19,Payment,Completed,Eastside,Auto-pay loan payment
TXN0196,ACC0122,LOAN0162,1377.07,2024-06-20,Payment,Completed,Northside,Online payment
TXN0197,ACC0143,LOAN0066,296.37,2024-03-03,Disbursement,Completed,Eastside,Personal loan
TXN0198,ACC0148,LOAN0167,2939.15,2024-05-25,Payment,Completed,Airport,Online payment
TXN0199,ACC0115,LOAN0021,6175.27,2024-08-25,Disbursement,Completed,Uptown,Home improvement loan
TXN0200,ACC0164,LOAN0087,6349.61,2024-10-19,Disbursement,Completed,Midtown,New loan disbursed
TXN0201,ACC0042,LOAN0088,974.77,2024-11-30,Payment,Completed,Westside,Online payment
TXN0202,ACC0166,LOAN0102,8888.15,2024-07-04,Disbursement,Completed,Airport,Business loan
TXN0203,ACC0043,LOAN0048,418.87,2024-04-30,Payment,Completed,Midtown,Monthly loan payment
TXN0204,ACC0043,LOAN0102,331.88,2024-08-30,Payment,Completed,Downtown,Auto-pay loan payment
TXN0205,ACC0135,LOAN0196,356.59,2024-11-12,Payment,Completed,Southside,Auto-pay loan payment
TXN0206,ACC0059,LOAN0064,4487.29,2024-03-05,Disbursement,Completed,Uptown,New loan disbursed
TXN0207,ACC0009,LOAN0170,8617.65,2024-06-15,Disbursement,Failed,Airport,Personal loan
TXN0208,ACC0070,LOAN0141,1437.64,2024-12-23,Disbursement,Completed,Airport,Personal loan
TXN0209,ACC0112,LOAN0135,9098.34,2024-09-03,Disbursement,Completed,Midtown,Business loan
TXN0210,ACC0079,LOAN0094,2672.09,2024-06-04,Disbursement,Completed,Uptown,Auto loan
TXN0211,ACC0074,LOAN0121,2078.92,2024-09-08,Payment,Failed,Airport,Auto-pay loan payment
TXN0212,ACC0003,LOAN0197,7999.85,2024-11-01,Disbursement,Completed,Downtown,Personal loan
TXN0213,ACC0096,LOAN0049,8833.4,2024-08-11,Disbursement,Completed,Uptown,Business loan
TXN0214,ACC0097,LOAN0057,884.18,2024-11-16,Disbursement,Completed,Westside,Auto loan
TXN0215,ACC0167,LOAN0191,4187.75,2024-02-05,Disbursement,Completed,Westside,New loan disbursed
TXN0216,ACC0164,LOAN0117,2794.13,2024-11-14,Disbursement,Completed,Northside,New loan disbursed
TXN0217,ACC0039,LOAN0013,598.52,2024-02-22,Payment,Completed,Uptown,Online payment
TXN0218,ACC0113,LOAN0187,736.79,2024-03-18,Payment,Completed,Eastside,Auto-pay loan payment
TXN0219,ACC0108,LOAN0080,9979.84,2024-08-25,Disbursement,Completed,Downtown,Auto loan
TXN0220,ACC0021,LOAN0193,215.31,2024-07-19,Payment,Completed,Airport,Monthly loan payment
TXN0221,ACC0050,LOAN0065,8299.7,2024-03-03,Disbursement,Failed,Eastside,Business loan
TXN0222,ACC0198,LOAN0114,2225.98,2024-01-18,Payment,Completed,Midtown,Online payment
TXN0223,ACC0171,LOAN0054,3952.32,2024-06-08,Disbursement,Failed,Uptown,New loan disbursed
TXN0224,ACC0191,LOAN0141,797.27,2024-11-22,Payment,Completed,Northside,Monthly loan payment
TXN0225,ACC0171,LOAN0056,746.1,2024-08-10,Payment,Completed,Uptown,Auto-pay loan payment
TXN0226,ACC0150,LOAN0031,7912.52,2024-01-05,Disbursement,Failed,Airport,Personal loan
TXN0227,ACC0040,LOAN0096,783.73,2024-09-12,Payment,Completed,Northside,Online payment
TXN0228,ACC0016,LOAN0016,6481.29,2024-12-25,Disbursement,Completed,Midtown,Home improvement loan
TXN0229,ACC0125,LOAN0060,9818.59,2024-11-26,Disbursement,Completed,Airport,Home improvement loan
TXN0230,ACC0006,LOAN0177,3645.86,2024-03-09,Disbursement,Completed,Downtown,Business loan
TXN0231,ACC0181,LOAN0113,5473.07,2024-09-07,Disbursement,Completed,Uptown,Personal loan
TXN0232,ACC0090,LOAN0083,2825.71,2024-11-02,Disbursement,Failed,Uptown,New loan disbursed
TXN0233,ACC0136,LOAN0040,3027.16,2024-05-14,Disbursement,Completed,Airport,New loan disbursed
TXN0234,ACC0199,LOAN0164,7363.21,2024-01-10,Disbursement,Completed,Northside,Personal loan
TXN0235,ACC0062,LOAN0083,1991.95,2024-10-02,Payment,Completed,Eastside,Online payment
TXN0236,ACC0175,LOAN0128,1858.47,2024-06-14,Payment,Completed,Northside,Monthly loan payment
TXN0237,ACC0025,LOAN0134,179.14,2024-03-07,Payment,Completed,Downtown,Monthly loan payment
TXN0238,ACC0028,LOAN0125,341.32,2024-10-19,Payment,Completed,Southside,Online payment
TXN0239,ACC0126,LOAN0135,585.95,2024-04-23,Disbursement,Completed,Midtown,New loan disbursed
TXN0240,ACC0054,LOAN0168,9291.2,2024-02-10,Disbursement,Completed,Downtown,Auto loan
TXN0241,ACC0143,LOAN0191,8238.06,2024-12-28,Disbursement,Completed,Westside,Personal loan
TXN0242,ACC0011,LOAN0188,2511.65,2024-02-09,Payment,Failed,Midtown,Monthly loan payment
TXN0243,ACC0186,LOAN0060,1975.66,2024-09-26,Disbursement,Completed,Uptown,Personal loan
TXN0244,ACC0192,LOAN0143,7486.47,2024-11-22,Disbursement,Completed,Airport,Business loan
TXN0245,ACC0027,LOAN0043,1672.4,2024-09-15,Payment,Completed,Uptown,Online payment
TXN0246,ACC0154,LOAN0114,9034.6,2024-10-08,Disbursement,Failed,Northside,Auto loan
TXN0247,ACC0106,LOAN0196,8278.93,2024-06-14,Disbursement,Completed,Eastside,Business loan
TXN0248,ACC0197,LOAN0141,3664.08,2024-08-19,Disbursement,Completed,Southside,New loan disbursed
TXN0249,ACC0186,LOAN0009,5998.05,2024-09-22,Disbursement,Completed,Westside,New loan disbursed
TXN0250,ACC0077,LOAN0057,2574.38,2024-01-12,Payment,Completed,Westside,Online payment
TXN0251,ACC0131,LOAN0143,328.15,2024-08-23,Payment,Completed,Uptown,Auto-pay loan payment
TXN0252,ACC0094,LOAN0150,737.33,2024-06-02,Payment,Completed,Southside,Online payment
TXN0253,ACC0056,LOAN0188,2184.56,2024-09-04,Payment,Completed,Midtown,Online payment
TXN0254,ACC0165,LOAN0077,2205.83,2024-10-22,Payment,Completed,Downtown,Auto-pay loan payment
TXN0255,ACC0090,LOAN0112,9309.44,2024-03-02,Disbursement,Failed,Eastside,Personal loan
TXN0256,ACC0003,LOAN0163,635.87,2024-09-25,Disbursement,Completed,Uptown,Auto loan
TXN0257,ACC0129,LOAN0179,501.93,2024-12-10,Payment,Completed,Southside,Auto-pay loan payment
TXN0258,ACC0193,LOAN0153,705.15,2024-05-28,Payment,Completed,Uptown,Monthly loan payment
TXN0259,ACC0087,LOAN0022,5757.26,2024-01-26,Disbursement,Completed,Westside,New loan disbursed
TXN0260,ACC0103,LOAN0129,7760.87,2024-03-07,Disbursement,Completed,Airport,Personal loan
TXN0261,ACC0051,LOAN0125,6557.26,2024-04-10,Disbursement,Completed,Eastside,Home improvement loan
TXN0262,ACC0019,LOAN0069,3301.78,2024-10-21,Disbursement,Completed,Southside,Business loan
TXN0263,ACC0094,LOAN0090,996.18,2024-10-31,Payment,Completed,Westside,Monthly loan payment
TXN0264,ACC0090,LOAN0158,6269.5,2024-08-13,Disbursement,Completed,Eastside,Home improvement loan
TXN0265,ACC0176,LOAN0096,2285.31,2024-02-13,Payment,Completed,Downtown,Monthly loan payment
TXN0266,ACC0159,LOAN0038,235.96,2024-12-21,Disbursement,Completed,Westside,Business loan
TXN0267,ACC0121,LOAN0006,2169.19,2024-10-02,Disbursement,Completed,Westside,Personal loan
TXN0268,ACC0124,LOAN0160,2100.46,2024-12-08,Payment,Completed,Downtown,Auto-pay loan payment
TXN0269,ACC0044,LOAN0016,2086.89,2024-12-22,Disbursement,Completed,Downtown,Business loan
TXN0270,ACC0168,LOAN0003,1196.5,2024-05-18,Payment,Completed,Northside,Monthly loan payment
