AccountID,CreditScore,AnnualIncome,LoanAmount,LoanPurpose,EmploymentYears,EmploymentType,DebtToIncomeRatio,NumOpenAccounts,NumDelinquencies,MonthsSinceLastDelinquency,HomeOwnership,LoanTermMonths,IsDefault
ACC0075,518,203637.63,40593.53,Personal,23,Self-employed,0.18,11,2,42,Mortgage,84,1
ACC0076,806,23350.13,3839.49,Debt Consolidation,21,Full-time,0.737,1,1,91,Mortgage,84,0
ACC0077,303,60230.19,36535.31,Education,17,Self-employed,0.692,15,0,999,Other,24,1
ACC0078,536,173025.78,83682.67,Debt Consolidation,5,Contract,0.1,2,0,999,Own,36,1
ACC0079,628,244692.9,85962.89,Home Improvement,8,Retired,0.226,9,1,21,Own,36,0
ACC0080,686,81771.25,73782.19,Auto,10,Retired,0.599,11,0,999,Own,24,1
ACC0081,662,127941.26,6912.78,Personal,22,Retired,0.231,6,0,999,Own,24,0
ACC0082,415,209719.74,9307.65,Auto,0,Retired,0.53,6,2,49,Mortgage,24,0
ACC0083,538,69374.65,43383.21,Other,17,Contract,0.724,15,0,999,Other,24,0
ACC0084,588,139273.62,71773.09,Education,29,Part-time,0.12,12,0,999,Rent,12,0
ACC0085,578,218207.78,44299.39,Debt Consolidation,5,Part-time,0.061,2,0,999,Own,12,1
ACC0086,575,203353.74,82010.34,Education,11,Contract,0.32,1,1,23,Other,24,0
ACC0087,628,232370.72,36092.86,Personal,19,Retired,0.08,4,0,999,Own,60,0
ACC0088,541,160812.21,11960.91,Medical,13,Full-time,0.074,8,0,999,Rent,24,1
ACC0089,736,213929.56,59209.06,Personal,5,Part-time,0.196,9,3,2,Other,84,0
ACC0090,577,191138.99,97211.32,Other,8,Retired,0.589,8,3,44,Other,24,0
ACC0091,411,222130.14,7766.13,Debt Consolidation,10,Retired,0.215,14,3,16,Other,84,1
ACC0092,316,84869.58,19392.92,Education,3,Full-time,0.47,13,3,95,Mortgage,36,1
ACC0093,458,164935.84,48751.49,Other,10,Self-employed,0.311,4,0,999,Mortgage,36,1
ACC0094,819,156405.46,73426.78,Other,8,Contract,0.245,5,2,120,Rent,24,0
ACC0095,611,192835.68,52655.5,Personal,1,Self-employed,0.06,15,1,96,Rent,60,0
ACC0096,392,51977.67,76359.26,Auto,34,Self-employed,0.186,14,0,999,Own,48,1
ACC0097,744,90149.12,51062.07,Medical,33,Contract,0.746,10,0,999,Other,60,0
ACC0098,677,76178.44,33059.45,Home Improvement,7,Part-time,0.573,12,0,999,Rent,24,0
ACC0099,345,91072.01,38896.5,Other,16,Full-time,0.174,10,0,999,Own,48,1
ACC0100,747,178535.66,15509.19,Medical,19,Full-time,0.108,2,1,100,Other,24,0
ACC0101,816,233586.08,7835.37,Business,32,Self-employed,0.381,14,3,101,Mortgage,60,0
ACC0102,633,188435.65,45410.87,Business,9,Contract,0.375,5,1,88,Other,36,1
ACC0103,827,30595.68,49585.71,Home Improvement,28,Contract,0.422,11,0,999,Own,48,0
ACC0104,720,130372.15,19567.08,Debt Consolidation,15,Retired,0.504,3,0,999,Rent,36,0
ACC0105,665,180268.13,58902.16,Other,2,Part-time,0.339,7,0,999,Own,36,0
ACC0106,499,82000.2,13088.43,Other,18,Contract,0.309,13,1,118,Rent,12,1
ACC0107,825,30161.89,90819.61,Education,32,Self-employed,0.374,14,0,999,Other,24,0
ACC0108,594,231755.65,38286.66,Home Improvement,12,Self-employed,0.45,10,1,4,Rent,60,0
ACC0109,810,141917.99,22445.34,Other,21,Full-time,0.381,2,2,91,Rent,12,0
ACC0110,458,110260.03,81668.7,Personal,8,Part-time,0.065,5,1,60,Rent,48,1
ACC0111,617,42141.1,50464.14,Home Improvement,23,Part-time,0.502,3,1,1,Own,84,1
ACC0112,825,21937.57,52619.04,Medical,23,Part-time,0.587,2,1,73,Rent,60,0
ACC0113,410,206182.35,55010.72,Medical,2,Self-employed,0.531,5,0,999,Rent,84,1
ACC0114,355,85879.83,53664.17,Medical,33,Full-time,0.261,2,2,28,Rent,84,1
ACC0115,669,177994.3,33254.97,Personal,27,Full-time,0.199,14,2,88,Rent,36,0
ACC0116,575,224739.7,77471.66,Debt Consolidation,0,Part-time,0.474,2,0,999,Mortgage,60,0
ACC0117,522,224311.34,64092.04,Medical,28,Part-time,0.188,10,1,39,Other,12,1
ACC0118,348,98032.2,26104.38,Business,19,Self-employed,0.557,15,0,999,Own,12,1
ACC0119,647,152789.12,20321.27,Business,27,Part-time,0.197,10,0,999,Own,36,1
ACC0120,741,122925.45,71306.6,Business,34,Part-time,0.595,4,0,999,Rent,12,0
ACC0121,355,20406.46,9121.62,Home Improvement,25,Part-time,0.207,10,0,999,Rent,36,1
ACC0122,717,48798.67,40839.35,Other,19,Contract,0.37,13,0,999,Mortgage,48,0
ACC0123,832,70599.6,49198.37,Auto,23,Part-time,0.455,15,3,53,Mortgage,48,0
ACC0124,607,216370.18,36452.78,Personal,11,Self-employed,0.118,1,0,999,Other,84,0
ACC0125,759,219577.05,85586.69,Medical,11,Contract,0.118,8,2,29,Own,12,0
ACC0126,522,27931.31,6799.19,Other,33,Part-time,0.465,4,0,999,Mortgage,60,0
ACC0127,422,42444.5,46603.22,Business,35,Part-time,0.51,1,0,999,Rent,84,0
ACC0128,453,88076.46,82891.05,Home Improvement,23,Self-employed,0.236,2,0,999,Mortgage,84,1
ACC0129,493,94568.89,38997.86,Debt Consolidation,25,Full-time,0.285,1,2,108,Own,36,1
ACC0130,743,127169.09,7510.48,Auto,30,Contract,0.318,8,1,24,Other,36,0
ACC0131,423,154229.33,98912.74,Other,18,Part-time,0.609,8,3,49,Own,12,1
ACC0132,616,29457.25,98265.78,Home Improvement,3,Contract,0.314,5,1,84,Other,12,0
ACC0133,448,121127.98,13352.62,Other,13,Part-time,0.519,13,2,0,Mortgage,12,0
ACC0134,349,110707.59,4177.2,Debt Consolidation,20,Part-time,0.534,4,1,84,Mortgage,60,1
ACC0135,561,183399.15,7013.26,Auto,22,Retired,0.533,1,2,60,Rent,48,1
ACC0136,355,110279.6,80698.31,Debt Consolidation,29,Contract,0.183,12,1,108,Mortgage,12,1
ACC0137,554,151153.61,39493.65,Home Improvement,3,Retired,0.701,9,0,999,Mortgage,84,0
ACC0138,310,233157.88,16177.02,Personal,18,Part-time,0.586,2,0,999,Rent,84,0
ACC0139,580,237870.94,68587.66,Business,17,Contract,0.57,9,0,999,Rent,60,1
ACC0140,610,182434.61,3648.01,Auto,34,Contract,0.326,4,0,999,Rent,36,0
ACC0141,722,139135.46,68989.77,Business,22,Contract,0.637,2,0,999,Rent,84,0
ACC0142,544,158177.58,60879.55,Other,32,Contract,0.063,13,3,101,Mortgage,24,0
ACC0143,341,46239.07,19061.99,Education,0,Self-employed,0.685,12,0,999,Mortgage,48,1
ACC0144,521,32664.52,65235.03,Auto,27,Full-time,0.713,12,0,999,Other,36,1
ACC0145,742,103969.18,42282.09,Business,9,Part-time,0.604,12,0,999,Other,84,0
ACC0146,561,42283.23,24881.07,Personal,1,Retired,0.625,14,0,999,Other,24,0
ACC0147,384,125583.27,20788.16,Other,9,Full-time,0.21,12,3,104,Other,12,0
ACC0148,510,149938.35,36276.39,Debt Consolidation,5,Part-time,0.28,1,2,57,Mortgage,24,0
ACC0149,726,217233.0,44552.9,Medical,7,Self-employed,0.639,2,0,999,Own,12,0
ACC0150,444,94402.41,32538.7,Education,3,Self-employed,0.103,9,0,999,Rent,12,1
ACC0151,791,157954.59,66601.09,Auto,27,Contract,0.655,4,0,999,Mortgage,12,1
ACC0152,401,68999.67,44958.09,Other,20,Full-time,0.499,12,1,105,Other,12,1
ACC0153,682,182494.87,76330.17,Other,13,Self-employed,0.345,1,0,999,Mortgage,36,0
ACC0154,709,110021.86,85436.82,Medical,30,Full-time,0.27,11,2,106,Rent,60,0
ACC0155,673,127959.19,72413.0,Auto,2,Retired,0.277,14,0,999,Other,12,0
ACC0156,374,100878.03,7595.5,Personal,9,Self-employed,0.734,5,2,15,Other,60,1
ACC0157,606,68889.55,54710.57,Auto,3,Self-employed,0.393,2,0,999,Own,48,1
ACC0158,487,155437.4,96099.28,Debt Consolidation,3,Full-time,0.667,6,3,21,Rent,36,1
ACC0159,398,80374.61,83131.23,Home Improvement,12,Retired,0.597,13,3,18,Own,36,1
ACC0160,345,173999.08,10203.51,Home Improvement,34,Full-time,0.29,7,0,999,Other,12,1
ACC0161,350,126431.06,81992.41,Other,15,Part-time,0.638,4,0,999,Own,36,1
ACC0162,480,241165.7,86989.36,Other,30,Retired,0.513,1,0,999,Mortgage,60,1
ACC0163,501,99417.99,43766.42,Business,7,Full-time,0.411,6,0,999,Mortgage,24,0
ACC0164,683,172044.37,37326.74,Personal,0,Part-time,0.205,11,0,999,Mortgage,24,0
ACC0165,403,168338.69,40286.34,Other,18,Retired,0.614,5,2,108,Mortgage,48,0
ACC0166,647,175663.5,26270.65,Business,14,Self-employed,0.612,12,1,6,Other,36,1
ACC0167,751,21985.91,13508.73,Business,26,Retired,0.213,8,3,110,Mortgage,36,0
ACC0168,747,239898.45,92710.19,Education,8,Part-time,0.664,14,3,48,Other,60,1
ACC0169,459,123670.36,12593.28,Auto,35,Contract,0.258,10,0,999,Other,60,0
ACC0170,715,169112.92,74808.52,Other,33,Retired,0.49,8,0,999,Rent,36,0
ACC0171,447,95136.36,26132.63,Education,15,Full-time,0.707,4,0,999,Other,24,0
ACC0172,655,244158.29,44859.59,Auto,7,Full-time,0.338,13,1,40,Mortgage,24,1
ACC0173,638,71769.0,27841.17,Business,1,Self-employed,0.174,8,1,22,Own,48,0
ACC0174,486,46173.83,40856.76,Debt Consolidation,11,Full-time,0.396,3,2,66,Mortgage,60,0
ACC0175,589,182409.99,52251.31,Medical,27,Self-employed,0.708,4,0,999,Rent,48,0
ACC0176,415,70411.88,60838.74,Education,19,Contract,0.73,12,0,999,Mortgage,24,0
ACC0177,840,131033.07,91088.98,Home Improvement,17,Part-time,0.129,13,0,999,Rent,48,0
ACC0178,511,125584.44,69116.4,Personal,2,Retired,0.195,2,0,999,Rent,12,0
ACC0179,516,49579.46,94658.56,Personal,20,Full-time,0.389,5,1,58,Rent,84,0
ACC0180,452,151519.43,86679.68,Personal,27,Full-time,0.672,8,3,100,Own,84,1
ACC0181,803,87723.36,52870.86,Personal,35,Part-time,0.484,7,0,999,Other,84,0
ACC0182,329,148958.8,5670.65,Home Improvement,1,Full-time,0.367,4,1,111,Other,84,0
ACC0183,364,40139.2,7284.97,Personal,17,Contract,0.592,14,1,49,Mortgage,84,0
ACC0184,753,91824.74,4979.22,Home Improvement,35,Self-employed,0.53,10,0,999,Other,84,0
ACC0185,437,66797.69,1949.12,Debt Consolidation,14,Contract,0.422,10,1,118,Mortgage,36,0
ACC0186,439,194357.34,15365.0,Debt Consolidation,23,Full-time,0.613,10,1,81,Mortgage,84,0
ACC0187,845,217520.94,36392.65,Business,28,Full-time,0.685,5,0,999,Own,84,0
ACC0188,485,217917.3,3000.05,Home Improvement,34,Full-time,0.254,8,0,999,Rent,84,0
ACC0189,398,180355.44,70354.59,Medical,22,Part-time,0.298,4,0,999,Mortgage,84,1
ACC0190,604,183551.61,79210.41,Medical,10,Retired,0.487,3,1,71,Own,84,0
ACC0191,508,221605.09,80606.29,Home Improvement,21,Self-employed,0.206,5,0,999,Rent,12,0
ACC0192,580,247265.5,44140.75,Home Improvement,6,Part-time,0.446,9,0,999,Other,12,1
ACC0193,675,203478.93,57804.97,Medical,2,Retired,0.53,3,0,999,Rent,12,1
ACC0194,307,227224.64,63662.34,Auto,4,Contract,0.686,15,1,30,Mortgage,84,0
ACC0195,764,60974.38,48011.57,Home Improvement,2,Self-employed,0.627,10,1,73,Rent,12,1
ACC0196,704,160558.28,18491.92,Education,35,Part-time,0.254,11,0,999,Rent,48,0
ACC0197,750,200952.34,1717.95,Home Improvement,4,Retired,0.162,11,2,101,Own,36,0
ACC0198,447,24551.91,63879.63,Other,9,Contract,0.19,4,0,999,Own,60,1
ACC0199,352,218562.66,27113.99,Medical,32,Self-employed,0.531,15,1,112,Own,48,1
ACC0200,492,39332.38,33429.11,Medical,30,Part-time,0.08,14,2,97,Rent,24,1
ACC0201,673,143481.35,18596.48,Business,27,Contract,0.427,1,0,999,Rent,36,0
ACC0202,416,246145.44,63903.06,Auto,24,Retired,0.339,1,3,13,Mortgage,12,1
ACC0203,827,88567.2,84200.89,Debt Consolidation,20,Retired,0.526,12,0,999,Mortgage,84,0
ACC0204,831,168217.48,32157.08,Personal,18,Full-time,0.644,1,3,27,Rent,84,0
ACC0205,682,34710.61,4066.9,Medical,0,Full-time,0.431,7,0,999,Own,84,0
ACC0206,808,236500.87,99110.65,Home Improvement,1,Contract,0.267,4,0,999,Own,36,0
ACC0207,455,47325.81,80314.75,Personal,12,Part-time,0.612,9,1,21,Other,60,0
ACC0208,507,177316.06,51544.51,Education,28,Contract,0.681,6,3,0,Other,24,1
ACC0209,414,30152.51,69521.15,Home Improvement,2,Contract,0.551,4,1,38,Own,60,1
ACC0210,425,219438.11,23566.17,Auto,10,Self-employed,0.201,6,1,48,Mortgage,84,0
ACC0211,670,76884.86,80330.78,Education,18,Full-time,0.742,8,2,105,Other,48,0
ACC0212,475,218907.98,7514.87,Medical,17,Retired,0.296,12,1,76,Other,36,1
ACC0213,598,189208.47,58714.02,Personal,14,Self-employed,0.135,2,0,999,Rent,12,0
ACC0214,718,228766.72,49298.48,Medical,29,Self-employed,0.311,9,2,61,Rent,24,0
ACC0215,300,161059.99,77961.25,Medical,8,Part-time,0.47,2,0,999,Mortgage,84,1
ACC0216,733,152379.22,86859.39,Home Improvement,20,Retired,0.562,10,0,999,Other,48,1
ACC0217,546,96301.35,34971.25,Debt Consolidation,7,Contract,0.657,3,1,92,Mortgage,36,0
ACC0218,410,184397.36,34549.47,Debt Consolidation,11,Self-employed,0.163,15,1,88,Other,60,0
ACC0219,808,149872.86,55210.16,Debt Consolidation,12,Retired,0.713,10,3,63,Rent,36,0
ACC0220,319,126137.89,85326.42,Home Improvement,13,Self-employed,0.572,1,1,71,Rent,48,1
ACC0221,545,147172.58,78177.94,Other,32,Self-employed,0.193,2,0,999,Own,12,1
ACC0222,302,98649.48,39853.56,Auto,20,Full-time,0.1,9,0,999,Mortgage,36,0
ACC0223,439,139506.27,67765.41,Personal,31,Full-time,0.318,14,0,999,Own,60,0
ACC0224,460,123005.79,95930.56,Personal,1,Self-employed,0.056,8,0,999,Mortgage,84,0
ACC0225,449,122328.45,3094.46,Home Improvement,24,Part-time,0.591,13,0,999,Rent,84,1
ACC0226,638,63558.91,31309.81,Education,7,Self-employed,0.143,10,3,64,Mortgage,24,0
ACC0227,794,117910.35,11480.47,Business,22,Retired,0.724,3,1,49,Mortgage,84,0
ACC0228,522,198799.46,7270.54,Education,22,Retired,0.111,1,1,92,Rent,60,1
ACC0229,476,27023.95,4122.21,Medical,33,Contract,0.058,9,1,52,Other,60,0
ACC0230,622,115780.26,16041.64,Other,7,Full-time,0.474,1,2,57,Rent,36,0
ACC0231,681,178045.98,7978.83,Business,14,Full-time,0.449,9,1,56,Mortgage,48,0
ACC0232,618,211022.8,41653.89,Personal,22,Contract,0.633,4,3,80,Other,24,1
ACC0233,398,56921.28,47286.17,Education,3,Self-employed,0.662,13,0,999,Other,24,0
ACC0234,847,114262.17,3988.13,Medical,2,Full-time,0.135,11,0,999,Other,48,0
ACC0235,740,124713.11,34398.73,Personal,31,Full-time,0.327,13,0,999,Other,84,0
ACC0236,797,26856.03,14351.48,Education,3,Self-employed,0.448,4,0,999,Rent,48,0
ACC0237,519,233083.23,57316.79,Auto,3,Self-employed,0.568,2,0,999,Rent,48,1
ACC0238,560,156335.0,13106.61,Debt Consolidation,27,Retired,0.488,2,0,999,Own,24,1
ACC0239,619,110100.35,20622.44,Debt Consolidation,19,Full-time,0.383,8,0,999,Own,60,1
ACC0240,519,80180.82,59155.47,Home Improvement,20,Self-employed,0.337,6,0,999,Other,48,0
ACC0241,654,86037.54,59776.33,Personal,7,Part-time,0.487,10,0,999,Other,36,0
ACC0242,364,44392.16,79922.59,Auto,10,Contract,0.516,11,3,91,Mortgage,60,1
ACC0243,825,75372.6,11452.13,Medical,26,Retired,0.578,8,1,79,Own,60,0
ACC0244,475,239738.07,97136.43,Medical,11,Contract,0.566,14,0,999,Rent,24,1
ACC0245,568,201255.98,50230.13,Debt Consolidation,13,Contract,0.696,13,3,105,Own,60,1
ACC0246,539,99161.29,15512.78,Business,10,Full-time,0.557,3,1,94,Mortgage,36,0
ACC0247,767,249275.37,28066.95,Medical,21,Retired,0.198,8,0,999,Own,60,0
ACC0248,492,40797.98,39349.79,Education,35,Self-employed,0.413,12,1,114,Mortgage,36,1
ACC0249,408,100849.16,22365.57,Auto,16,Self-employed,0.484,6,2,29,Mortgage,36,1
ACC0250,623,99238.26,91764.29,Other,14,Self-employed,0.459,5,0,999,Mortgage,12,0
ACC0251,526,118472.77,47995.61,Education,28,Part-time,0.347,5,0,999,Other,12,0
ACC0252,497,217704.27,97192.29,Home Improvement,32,Contract,0.291,1,3,49,Rent,36,1
ACC0253,568,227994.82,15023.85,Other,10,Full-time,0.417,1,2,117,Own,12,1
ACC0254,657,123670.07,68149.21,Other,26,Self-employed,0.357,12,0,999,Other,60,0
ACC0255,730,181089.17,69182.6,Medical,16,Retired,0.464,10,1,23,Other,12,0
ACC0256,688,80239.54,22040.61,Personal,23,Part-time,0.174,13,1,29,Own,48,0
ACC0257,422,226673.53,77192.82,Business,32,Self-employed,0.699,13,0,999,Rent,36,1
ACC0258,453,190053.77,66310.21,Auto,33,Retired,0.725,7,0,999,Mortgage,12,1
ACC0259,377,154568.83,39678.22,Debt Consolidation,2,Part-time,0.563,11,0,999,Rent,24,1
ACC0260,301,138267.6,37095.12,Personal,10,Contract,0.546,14,0,999,Mortgage,24,0
ACC0261,512,33802.02,28911.96,Education,3,Retired,0.722,14,3,89,Rent,48,1
ACC0262,671,91803.33,29214.75,Education,6,Retired,0.164,8,2,63,Other,24,0
ACC0263,846,242325.52,15510.95,Education,26,Part-time,0.092,1,0,999,Other,36,0
ACC0264,369,127061.97,48907.33,Other,11,Self-employed,0.064,9,1,61,Rent,24,0
ACC0265,475,96547.02,87726.58,Business,0,Retired,0.598,11,3,62,Mortgage,60,1
ACC0266,614,139702.09,92966.65,Medical,0,Full-time,0.702,15,1,100,Mortgage,12,0
ACC0267,524,238122.91,30777.25,Business,30,Part-time,0.393,5,1,115,Mortgage,36,1
ACC0268,383,64227.5,36521.15,Home Improvement,0,Retired,0.566,2,0,999,Other,12,1
ACC0269,493,32295.07,8991.02,Debt Consolidation,6,Full-time,0.091,12,0,999,Rent,48,0
ACC0270,672,232362.06,69209.97,Debt Consolidation,23,Part-time,0.256,9,0,999,Mortgage,48,0
ACC0271,338,22750.74,86156.88,Business,11,Part-time,0.106,10,1,67,Other,60,1
ACC0272,783,84352.74,47472.61,Home Improvement,25,Self-employed,0.155,1,0,999,Other,84,0
ACC0273,361,165310.62,19414.16,Personal,25,Retired,0.124,9,0,999,Mortgage,36,0
ACC0274,372,38637.1,70117.65,Other,29,Self-employed,0.385,4,1,108,Own,24,0
ACC0275,433,174350.14,61791.07,Personal,7,Full-time,0.493,13,0,999,Rent,84,1
ACC0276,844,121129.45,76196.28,Debt Consolidation,0,Self-employed,0.235,14,0,999,Own,24,0
ACC0277,597,108418.35,83799.07,Education,23,Retired,0.618,8,0,999,Other,12,1
ACC0278,482,55630.2,2771.89,Medical,20,Full-time,0.704,7,3,47,Rent,48,1
ACC0279,748,51016.09,2533.45,Auto,9,Contract,0.707,10,0,999,Other,12,1
ACC0280,308,57113.02,14912.87,Education,9,Part-time,0.712,11,2,17,Mortgage,60,1
ACC0281,761,225796.29,59534.44,Personal,23,Retired,0.704,4,0,999,Mortgage,24,0
ACC0282,554,146708.86,30411.74,Personal,24,Contract,0.162,6,1,82,Other,24,0
ACC0283,787,183571.1,23898.42,Home Improvement,27,Part-time,0.192,14,0,999,Other,84,1
ACC0284,531,236573.55,28423.72,Personal,7,Contract,0.482,11,0,999,Other,84,0
ACC0285,444,245458.17,11858.26,Business,18,Part-time,0.748,7,0,999,Other,60,0
ACC0286,807,142557.7,89438.92,Personal,23,Self-employed,0.226,10,0,999,Mortgage,60,0
ACC0287,480,88517.8,86846.49,Debt Consolidation,5,Self-employed,0.722,8,2,119,Own,48,1
ACC0288,490,241376.31,20439.49,Other,23,Contract,0.16,12,0,999,Own,84,1
ACC0289,519,130161.93,74927.31,Education,3,Part-time,0.66,6,1,56,Mortgage,60,0
ACC0290,377,224907.51,10567.19,Education,20,Contract,0.364,8,0,999,Own,48,0
