LoanID,AccountID,CustomerID,ProductID,BranchID,LoanAmount,InterestRate,TermMonths,MonthlyPayment,OutstandingBalance,StartDate,EndDate,LoanStatus,LoanPurpose
LOAN0072,ACC0072,CUST0072,PROD005,BR003,28900.0,16.7,36,1026.05,13295.51,2021-10-06,2024-09-20,90-Days Late,Business Expansion
LOAN0073,ACC0073,CUST0073,PROD006,BR009,180600.0,7.63,120,2156.03,166159.98,2021-10-15,2031-08-24,Current,Home Improvement
LOAN0074,ACC0074,CUST0074,PROD010,BR001,241300.0,8.54,36,7621.72,187994.53,2021-06-12,2024-05-27,90-Days Late,Investment
LOAN0075,ACC0075,CUST0075,PROD003,BR007,26800.0,7.38,36,832.17,17091.17,2022-03-23,2025-03-07,Current,Auto Purchase
LOAN0076,ACC0076,CUST0076,PROD001,BR001,36300.0,14.52,36,1249.84,7283.67,2021-01-17,2024-01-02,Current,Personal
LOAN0077,ACC0077,CUST0077,PROD008,BR007,145000.0,14.98,36,5025.05,63952.35,2021-09-28,2024-09-12,30-Days Late,Small Business
LOAN0078,ACC0078,CUST0078,PROD007,BR001,1000.0,15.75,12,90.61,416.63,2020-07-08,2021-07-03,Current,Credit Building
LOAN0079,ACC0079,CUST0079,PROD005,BR009,244100.0,15.03,24,11839.07,182200.88,2020-01-13,2022-01-02,Current,Business Expansion
LOAN0080,ACC0080,CUST0080,PROD008,BR010,82300.0,13.95,36,2810.82,17173.9,2023-02-18,2026-02-02,Current,Small Business
LOAN0081,ACC0081,CUST0081,PROD010,BR006,249800.0,13.1,24,11887.68,119703.68,2021-07-13,2023-07-03,Current,Investment
LOAN0082,ACC0082,CUST0082,PROD005,BR003,200600.0,12.67,24,9505.83,176847.65,2020-08-15,2022-08-05,Current,Business Expansion
LOAN0083,ACC0083,CUST0083,PROD004,BR008,30700.0,5.62,180,252.8,22106.2,2023-04-20,2038-01-31,Current,Education
LOAN0084,ACC0084,CUST0084,PROD008,BR009,59000.0,19.24,24,2980.99,55217.56,2022-01-24,2024-01-14,Current,Small Business
LOAN0085,ACC0085,CUST0085,PROD003,BR002,43600.0,10.02,48,1106.23,16378.52,2022-10-28,2026-10-07,90-Days Late,Auto Purchase
LOAN0086,ACC0086,CUST0086,PROD005,BR001,33600.0,18.39,36,1221.3,22004.57,2021-09-17,2024-09-01,Current,Business Expansion
LOAN0087,ACC0087,CUST0087,PROD003,BR004,52300.0,6.0,48,1228.27,12083.35,2021-01-31,2025-01-10,Current,Auto Purchase
LOAN0088,ACC0088,CUST0088,PROD009,BR010,39400.0,17.83,48,1153.88,28502.9,2023-06-25,2027-06-04,Current,Debt Consolidation
LOAN0089,ACC0089,CUST0089,PROD007,BR004,1600.0,16.91,12,145.86,390.82,2022-09-29,2023-09-24,Default,Credit Building
LOAN0090,ACC0090,CUST0090,PROD009,BR007,35800.0,18.84,48,1067.4,25313.62,2021-12-25,2025-12-04,Current,Debt Consolidation
LOAN0091,ACC0091,CUST0091,PROD002,BR010,492000.0,6.78,180,4361.94,186767.44,2021-06-06,2036-03-19,Current,Home Purchase
LOAN0092,ACC0092,CUST0092,PROD010,BR004,196200.0,11.08,24,9151.75,123705.99,2021-06-30,2023-06-20,Default,Investment
LOAN0093,ACC0093,CUST0093,PROD005,BR001,34800.0,18.13,60,886.15,18704.89,2020-07-31,2025-07-05,Current,Business Expansion
LOAN0094,ACC0094,CUST0094,PROD008,BR009,50100.0,20.31,36,1869.82,47122.25,2021-12-08,2024-11-22,Current,Small Business
LOAN0095,ACC0095,CUST0095,PROD006,BR005,67100.0,5.97,180,565.14,53447.29,2021-03-06,2035-12-18,60-Days Late,Home Improvement
LOAN0096,ACC0096,CUST0096,PROD008,BR010,96700.0,14.63,24,4671.68,62421.68,2020-02-01,2022-01-21,Paid Off,Small Business
LOAN0097,ACC0097,CUST0097,PROD006,BR004,135900.0,6.19,180,1160.8,124524.25,2022-07-23,2037-05-05,Current,Home Improvement
LOAN0098,ACC0098,CUST0098,PROD009,BR007,41200.0,15.97,48,1166.99,22599.84,2023-04-15,2027-03-25,Paid Off,Debt Consolidation
LOAN0099,ACC0099,CUST0099,PROD010,BR001,187700.0,14.78,36,6486.48,130942.51,2023-03-31,2026-03-15,Current,Investment
LOAN0100,ACC0100,CUST0100,PROD008,BR003,45500.0,11.91,24,2139.93,25451.79,2023-05-10,2025-04-29,60-Days Late,Small Business
LOAN0101,ACC0101,CUST0101,PROD003,BR005,16600.0,6.82,48,396.12,8002.87,2023-04-28,2027-04-07,Current,Auto Purchase
LOAN0102,ACC0102,CUST0102,PROD002,BR003,587900.0,6.85,360,3852.27,254626.89,2020-03-02,2049-09-26,Paid Off,Home Purchase
LOAN0103,ACC0103,CUST0103,PROD010,BR004,492500.0,10.84,60,10668.89,347181.51,2020-04-11,2025-03-16,Current,Investment
LOAN0104,ACC0104,CUST0104,PROD003,BR002,12200.0,6.26,48,287.97,3042.31,2021-04-16,2025-03-26,Current,Auto Purchase
LOAN0105,ACC0105,CUST0105,PROD009,BR007,25800.0,13.83,36,879.65,13718.76,2020-03-02,2023-02-15,30-Days Late,Debt Consolidation
LOAN0106,ACC0106,CUST0106,PROD009,BR008,37200.0,10.89,60,806.78,29579.78,2020-06-20,2025-05-25,Current,Debt Consolidation
LOAN0107,ACC0107,CUST0107,PROD002,BR005,130900.0,6.05,300,847.4,85398.41,2021-10-15,2046-06-06,Current,Home Purchase
LOAN0108,ACC0108,CUST0108,PROD009,BR001,40400.0,12.65,60,912.0,10735.87,2020-10-10,2025-09-14,Default,Debt Consolidation
LOAN0109,ACC0109,CUST0109,PROD010,BR006,424400.0,13.14,24,20204.67,114067.0,2020-01-08,2021-12-28,Current,Investment
LOAN0110,ACC0110,CUST0110,PROD007,BR003,500.0,22.09,24,25.96,454.81,2021-11-05,2023-10-26,Current,Credit Building
LOAN0111,ACC0111,CUST0111,PROD002,BR006,109800.0,5.94,360,654.08,101738.21,2022-06-05,2051-12-30,Current,Home Purchase
LOAN0112,ACC0112,CUST0112,PROD002,BR002,106500.0,5.81,300,673.87,89180.78,2021-09-04,2046-04-26,60-Days Late,Home Purchase
LOAN0113,ACC0113,CUST0113,PROD004,BR005,5100.0,5.68,120,55.8,2238.9,2020-07-24,2030-06-02,Paid Off,Education
LOAN0114,ACC0114,CUST0114,PROD005,BR010,154100.0,13.75,24,7380.6,116662.14,2022-01-22,2024-01-12,Current,Business Expansion
LOAN0115,ACC0115,CUST0115,PROD009,BR004,18200.0,11.11,60,396.71,10554.39,2023-03-08,2028-02-10,Current,Debt Consolidation
LOAN0116,ACC0116,CUST0116,PROD008,BR001,83900.0,15.75,24,4097.99,46125.52,2022-08-25,2024-08-14,30-Days Late,Small Business
LOAN0117,ACC0117,CUST0117,PROD010,BR002,213800.0,9.62,60,4502.75,54202.27,2022-05-28,2027-05-02,Current,Investment
LOAN0118,ACC0118,CUST0118,PROD008,BR007,13300.0,16.43,24,653.95,11993.64,2020-02-15,2022-02-04,Paid Off,Small Business
LOAN0119,ACC0119,CUST0119,PROD006,BR008,172900.0,7.82,180,1634.41,139423.35,2023-02-18,2037-12-01,Current,Home Improvement
LOAN0120,ACC0120,CUST0120,PROD002,BR009,527400.0,6.16,300,3449.81,474466.65,2020-10-12,2045-06-03,Current,Home Purchase
LOAN0121,ACC0121,CUST0121,PROD009,BR006,48700.0,10.84,48,1254.9,16907.14,2022-07-24,2026-07-03,60-Days Late,Debt Consolidation
LOAN0122,ACC0122,CUST0122,PROD008,BR005,63900.0,11.31,24,2987.45,35818.45,2020-07-16,2022-07-06,30-Days Late,Small Business
LOAN0123,ACC0123,CUST0123,PROD003,BR005,14600.0,10.13,72,271.44,6867.56,2020-10-09,2026-09-08,Current,Auto Purchase
LOAN0124,ACC0124,CUST0124,PROD008,BR006,81700.0,9.93,24,3767.4,58240.27,2021-06-25,2023-06-15,Paid Off,Small Business
LOAN0125,ACC0125,CUST0125,PROD002,BR009,273300.0,4.71,360,1419.08,101426.11,2020-04-02,2049-10-27,Current,Home Purchase
LOAN0126,ACC0126,CUST0126,PROD010,BR003,106800.0,13.81,36,3640.32,75161.63,2020-01-01,2022-12-16,60-Days Late,Investment
LOAN0127,ACC0127,CUST0127,PROD002,BR007,209800.0,5.98,300,1349.18,70040.19,2022-04-19,2046-12-09,Current,Home Purchase
LOAN0128,ACC0128,CUST0128,PROD003,BR005,52400.0,8.56,48,1293.06,12498.02,2022-10-27,2026-10-06,Current,Auto Purchase
LOAN0129,ACC0129,CUST0129,PROD005,BR001,41100.0,13.34,60,942.32,10495.01,2022-11-24,2027-10-29,60-Days Late,Business Expansion
LOAN0130,ACC0130,CUST0130,PROD004,BR002,15200.0,5.58,120,165.56,13460.61,2023-01-15,2032-11-23,Current,Education
LOAN0131,ACC0131,CUST0131,PROD008,BR002,18200.0,13.39,24,868.6,3617.13,2020-07-06,2022-06-26,Current,Small Business
LOAN0132,ACC0132,CUST0132,PROD003,BR008,54300.0,6.21,36,1657.08,14011.59,2021-10-07,2024-09-21,Paid Off,Auto Purchase
LOAN0133,ACC0133,CUST0133,PROD006,BR004,190500.0,8.56,120,2368.04,151960.55,2020-04-19,2030-02-26,Current,Home Improvement
LOAN0134,ACC0134,CUST0134,PROD008,BR002,123400.0,16.42,24,6066.84,112717.75,2020-01-10,2021-12-30,60-Days Late,Small Business
LOAN0135,ACC0135,CUST0135,PROD002,BR009,387000.0,4.77,300,2210.81,113372.75,2021-08-23,2046-04-14,90-Days Late,Home Purchase
LOAN0136,ACC0136,CUST0136,PROD009,BR008,23600.0,15.83,36,827.73,9272.95,2022-04-24,2025-04-08,Current,Debt Consolidation
LOAN0137,ACC0137,CUST0137,PROD008,BR002,67900.0,18.16,24,3395.1,18459.08,2022-08-29,2024-08-18,Current,Small Business
LOAN0138,ACC0138,CUST0138,PROD004,BR002,7700.0,5.3,60,146.37,5840.3,2021-12-21,2026-11-25,Current,Education
LOAN0139,ACC0139,CUST0139,PROD003,BR002,33400.0,7.43,60,668.16,10608.79,2022-06-15,2027-05-20,Default,Auto Purchase
LOAN0140,ACC0140,CUST0140,PROD006,BR003,95700.0,5.99,120,1061.99,44989.38,2023-01-22,2032-11-30,Current,Home Improvement
LOAN0141,ACC0141,CUST0141,PROD010,BR009,148600.0,12.53,36,4973.35,132448.16,2021-09-05,2024-08-20,Current,Investment
LOAN0142,ACC0142,CUST0142,PROD003,BR006,50000.0,7.99,60,1013.58,43887.69,2022-04-11,2027-03-16,Current,Auto Purchase
LOAN0143,ACC0143,CUST0143,PROD001,BR008,41700.0,17.14,24,2064.55,16933.96,2022-03-16,2024-03-05,Current,Personal
LOAN0144,ACC0144,CUST0144,PROD006,BR007,48700.0,7.61,180,454.5,29461.39,2020-01-20,2034-11-02,Current,Home Improvement
LOAN0145,ACC0145,CUST0145,PROD006,BR002,27700.0,7.81,120,333.3,18452.91,2020-02-26,2030-01-04,Paid Off,Home Improvement
LOAN0146,ACC0146,CUST0146,PROD002,BR002,598400.0,5.23,360,3296.98,365546.38,2020-07-13,2050-02-06,Current,Home Purchase
LOAN0147,ACC0147,CUST0147,PROD005,BR008,212500.0,8.59,60,4368.99,51629.33,2020-12-28,2025-12-02,60-Days Late,Business Expansion
LOAN0148,ACC0148,CUST0148,PROD006,BR004,76700.0,8.74,120,960.84,52171.32,2020-06-19,2030-04-28,Paid Off,Home Improvement
LOAN0149,ACC0149,CUST0149,PROD003,BR003,31900.0,7.54,60,639.82,3476.76,2020-05-01,2025-04-05,90-Days Late,Auto Purchase
LOAN0150,ACC0150,CUST0150,PROD001,BR002,19400.0,11.01,36,635.22,17879.44,2021-12-11,2024-11-25,60-Days Late,Personal
LOAN0151,ACC0151,CUST0151,PROD005,BR008,199300.0,14.79,24,9643.52,67790.22,2022-06-16,2024-06-05,Current,Business Expansion
LOAN0152,ACC0152,CUST0152,PROD008,BR004,128200.0,14.8,24,6203.81,90003.12,2021-12-25,2023-12-15,Current,Small Business
LOAN0153,ACC0153,CUST0153,PROD001,BR004,35000.0,16.12,24,1715.72,32731.37,2020-01-20,2022-01-09,30-Days Late,Personal
LOAN0154,ACC0154,CUST0154,PROD004,BR005,63000.0,4.24,180,473.62,12646.61,2023-03-31,2038-01-11,Current,Education
LOAN0155,ACC0155,CUST0155,PROD001,BR004,24300.0,12.77,48,649.14,3917.34,2020-05-11,2024-04-20,30-Days Late,Personal
LOAN0156,ACC0156,CUST0156,PROD002,BR004,595200.0,4.84,240,3875.64,241233.4,2023-01-22,2042-10-09,Current,Home Purchase
LOAN0157,ACC0157,CUST0157,PROD006,BR010,81300.0,5.95,120,900.56,10428.27,2020-05-24,2030-04-02,Current,Home Improvement
LOAN0158,ACC0158,CUST0158,PROD010,BR001,339900.0,9.84,36,10942.1,50975.26,2023-01-26,2026-01-10,60-Days Late,Investment
LOAN0159,ACC0159,CUST0159,PROD008,BR005,16200.0,17.69,24,806.35,8518.13,2022-09-07,2024-08-27,Current,Small Business
LOAN0160,ACC0160,CUST0160,PROD004,BR004,47800.0,5.15,180,381.74,39798.51,2022-02-06,2036-11-19,Current,Education
LOAN0161,ACC0161,CUST0161,PROD008,BR007,116200.0,19.58,36,4293.58,12415.09,2021-11-02,2024-10-17,Current,Small Business
LOAN0162,ACC0162,CUST0162,PROD001,BR002,27200.0,17.75,48,795.45,5725.78,2021-06-06,2025-05-16,Current,Personal
LOAN0163,ACC0163,CUST0163,PROD008,BR009,45700.0,16.28,24,2243.73,31856.92,2023-03-18,2025-03-07,90-Days Late,Small Business
LOAN0164,ACC0164,CUST0164,PROD005,BR006,260400.0,8.77,60,5376.45,152495.46,2020-03-06,2025-02-08,Paid Off,Business Expansion
LOAN0165,ACC0165,CUST0165,PROD001,BR006,16000.0,14.13,60,373.37,5044.57,2022-11-11,2027-10-16,Paid Off,Personal
LOAN0166,ACC0166,CUST0166,PROD002,BR002,292000.0,5.18,240,1956.22,259410.06,2023-06-16,2043-03-03,30-Days Late,Home Purchase
LOAN0167,ACC0167,CUST0167,PROD008,BR006,115600.0,21.45,36,4381.99,95789.44,2021-10-24,2024-10-08,Current,Small Business
LOAN0168,ACC0168,CUST0168,PROD010,BR010,397000.0,9.12,36,12646.68,117632.45,2020-04-05,2023-03-21,Current,Investment
LOAN0169,ACC0169,CUST0169,PROD003,BR001,54200.0,6.42,60,1058.46,29406.84,2021-12-25,2026-11-29,Current,Auto Purchase
LOAN0170,ACC0170,CUST0170,PROD008,BR001,107300.0,10.58,36,3491.56,19014.52,2020-08-22,2023-08-07,Current,Small Business
LOAN0171,ACC0171,CUST0171,PROD009,BR001,13100.0,14.42,36,450.4,8514.73,2020-07-21,2023-07-06,30-Days Late,Debt Consolidation
LOAN0172,ACC0172,CUST0172,PROD002,BR006,553500.0,5.43,180,4502.02,324861.95,2022-12-05,2037-09-17,Current,Home Purchase
LOAN0173,ACC0173,CUST0173,PROD006,BR010,37000.0,6.14,60,717.72,17428.88,2022-10-27,2027-10-01,Current,Home Improvement
LOAN0174,ACC0174,CUST0174,PROD009,BR002,37900.0,19.54,60,994.44,26026.96,2022-08-07,2027-07-12,60-Days Late,Debt Consolidation
LOAN0175,ACC0175,CUST0175,PROD002,BR007,378000.0,3.94,180,2784.67,332486.03,2021-11-26,2036-09-08,90-Days Late,Home Purchase
LOAN0176,ACC0176,CUST0176,PROD010,BR004,80200.0,14.72,60,1896.19,42685.83,2020-11-12,2025-10-17,Paid Off,Investment
LOAN0177,ACC0177,CUST0177,PROD009,BR005,19900.0,19.56,36,735.1,18827.68,2020-07-15,2023-06-30,60-Days Late,Debt Consolidation
LOAN0178,ACC0178,CUST0178,PROD008,BR003,10200.0,11.22,24,476.44,3573.71,2023-06-13,2025-06-02,Paid Off,Small Business
LOAN0179,ACC0179,CUST0179,PROD004,BR003,54700.0,4.71,120,572.46,18368.84,2020-06-30,2030-05-09,Current,Education
LOAN0180,ACC0180,CUST0180,PROD004,BR003,74300.0,7.04,180,669.49,11600.69,2020-08-12,2035-05-26,Paid Off,Education
LOAN0181,ACC0181,CUST0181,PROD010,BR010,369700.0,12.39,60,8296.82,268166.11,2020-09-16,2025-08-21,Current,Investment
LOAN0182,ACC0182,CUST0182,PROD004,BR001,25800.0,6.56,60,505.53,21272.59,2021-03-24,2026-02-26,Current,Education
LOAN0183,ACC0183,CUST0183,PROD006,BR003,145200.0,6.13,120,1621.51,19633.15,2021-02-01,2030-12-11,Current,Home Improvement
LOAN0184,ACC0184,CUST0184,PROD002,BR007,267700.0,3.95,300,1405.64,71605.8,2022-03-21,2046-11-10,Default,Home Purchase
LOAN0185,ACC0185,CUST0185,PROD006,BR010,61500.0,8.45,120,760.87,24752.53,2022-07-30,2032-06-07,Current,Home Improvement
LOAN0186,ACC0186,CUST0186,PROD009,BR004,10900.0,10.31,36,353.3,10268.54,2020-11-27,2023-11-12,60-Days Late,Debt Consolidation
LOAN0187,ACC0187,CUST0187,PROD002,BR008,249300.0,6.48,180,2168.93,148267.25,2020-11-21,2035-09-04,Current,Home Purchase
LOAN0188,ACC0188,CUST0188,PROD001,BR005,16200.0,17.54,48,471.99,10158.62,2020-05-16,2024-04-25,Current,Personal
LOAN0189,ACC0189,CUST0189,PROD002,BR004,569400.0,5.1,180,4532.5,83983.95,2022-10-23,2037-08-05,Paid Off,Home Purchase
