TransactionID,AccountID,CustomerID,BranchID,TransactionDate,Amount,TransactionType,Channel,Status,Description
TXN000040,ACC0283,CUST0283,BR003,2024-05-30,3194.86,Withdrawal,Online,Completed,Loan payment
TXN000041,ACC0342,CUST0342,BR002,2023-12-26,19505.1,Interest,Branch,Completed,Loan payment
TXN000042,ACC0443,CUST0443,BR003,2022-12-29,22036.59,Deposit,ATM,Completed,Loan payment
TXN000043,ACC0137,CUST0137,BR003,2022-08-10,9569.72,Deposit,Branch,Completed,Wire transfer
TXN000044,ACC0180,CUST0180,BR005,2023-04-12,5580.86,Payment,Branch,Pending,Service fee
TXN000045,ACC0180,CUST0180,BR009,2024-03-29,16991.16,Fee,ATM,Completed,Service fee
TXN000046,ACC0092,CUST0092,BR010,2023-06-28,966.05,Transfer,ATM,Completed,Overdraft fee
TXN000047,ACC0262,CUST0262,BR002,2024-02-28,22488.62,Deposit,Online,Completed,Direct deposit
TXN000048,ACC0352,CUST0352,BR004,2024-01-16,10788.12,Interest,ATM,Completed,ATM withdrawal
TXN000049,ACC0369,CUST0369,BR005,2024-11-04,7739.02,Withdrawal,Branch,Completed,Loan payment
TXN000050,ACC0216,CUST0216,BR007,2022-12-23,15391.72,Withdrawal,Phone,Completed,Loan payment
TXN000051,ACC0221,CUST0221,BR010,2023-10-22,11630.05,Withdrawal,Mobile,Completed,Bill payment
TXN000052,ACC0338,CUST0338,BR002,2023-08-05,12891.15,Transfer,ATM,Failed,Loan payment
TXN000053,ACC0345,CUST0345,BR005,2023-04-06,20166.01,Deposit,Online,Completed,ATM withdrawal
TXN000054,ACC0234,CUST0234,BR007,2023-02-03,17961.46,Withdrawal,Branch,Completed,Monthly deposit
TXN000055,ACC0458,CUST0458,BR002,2024-05-20,5478.84,Fee,Phone,Completed,ATM withdrawal
TXN000056,ACC0234,CUST0234,BR003,2024-08-09,16692.77,Refund,Phone,Completed,Wire transfer
TXN000057,ACC0314,CUST0314,BR009,2024-05-23,20765.92,Transfer,Mobile,Completed,Service fee
TXN000058,ACC0385,CUST0385,BR004,2023-07-22,19147.68,Transfer,Mobile,Completed,Service fee
TXN000059,ACC0121,CUST0121,BR005,2023-11-19,7999.54,Transfer,Mobile,Completed,Bill payment
TXN000060,ACC0362,CUST0362,BR004,2022-05-12,10377.55,Withdrawal,Branch,Completed,Transfer to savings
TXN000061,ACC0200,CUST0200,BR010,2022-02-10,21419.73,Payment,Branch,Failed,Service fee
TXN000062,ACC0386,CUST0386,BR007,2024-05-08,13460.13,Payment,Phone,Completed,Service fee
TXN000063,ACC0224,CUST0224,BR008,2022-03-01,9727.54,Payment,Branch,Pending,Bill payment
TXN000064,ACC0319,CUST0319,BR009,2022-02-25,22674.15,Transfer,Online,Completed,Wire transfer
TXN000065,ACC0094,CUST0094,BR001,2023-06-17,9483.81,Deposit,ATM,Pending,Service fee
TXN000066,ACC0386,CUST0386,BR007,2023-06-01,20874.42,Transfer,Phone,Failed,Loan payment
TXN000067,ACC0333,CUST0333,BR002,2022-03-24,18858.29,Interest,Mobile,Completed,Loan payment
TXN000068,ACC0065,CUST0065,BR008,2022-08-23,14103.6,Deposit,ATM,Completed,Overdraft fee
TXN000069,ACC0494,CUST0494,BR002,2022-12-02,24118.37,Deposit,Online,Completed,Transfer to savings
TXN000070,ACC0204,CUST0204,BR004,2022-06-05,14806.53,Fee,Mobile,Completed,Overdraft fee
TXN000071,ACC0413,CUST0413,BR002,2022-03-26,8686.62,Withdrawal,ATM,Completed,Monthly deposit
TXN000072,ACC0435,CUST0435,BR007,2024-09-30,2647.42,Refund,Branch,Completed,Direct deposit
TXN000073,ACC0495,CUST0495,BR005,2024-09-17,11627.2,Fee,Phone,Pending,ATM withdrawal
TXN000074,ACC0143,CUST0143,BR008,2023-05-15,18764.4,Transfer,Branch,Completed,Interest credit
TXN000075,ACC0094,CUST0094,BR008,2023-03-11,8877.08,Withdrawal,ATM,Completed,Service fee
TXN000076,ACC0285,CUST0285,BR001,2024-11-24,23702.08,Deposit,Branch,Completed,Wire transfer
TXN000077,ACC0331,CUST0331,BR008,2024-07-06,19825.39,Deposit,Mobile,Completed,Overdraft fee
TXN000078,ACC0189,CUST0189,BR008,2024-12-23,8600.5,Refund,Phone,Completed,Service fee
TXN000079,ACC0157,CUST0157,BR005,2023-04-18,3025.19,Deposit,Online,Failed,Bill payment
TXN000080,ACC0099,CUST0099,BR004,2024-09-18,6919.73,Transfer,Phone,Failed,Loan payment
TXN000081,ACC0152,CUST0152,BR004,2024-01-10,4494.24,Deposit,Phone,Completed,Monthly deposit
TXN000082,ACC0284,CUST0284,BR005,2022-09-16,15950.36,Payment,Online,Completed,Wire transfer
TXN000083,ACC0246,CUST0246,BR008,2023-11-29,4617.25,Deposit,Branch,Completed,Wire transfer
TXN000084,ACC0038,CUST0038,BR010,2022-04-20,3801.66,Fee,ATM,Completed,Direct deposit
TXN000085,ACC0392,CUST0392,BR007,2023-04-08,19394.58,Withdrawal,Branch,Completed,Transfer to savings
TXN000086,ACC0157,CUST0157,BR010,2022-05-04,15244.68,Payment,Mobile,Completed,ATM withdrawal
TXN000087,ACC0081,CUST0081,BR004,2022-12-22,13804.29,Deposit,Branch,Completed,Service fee
TXN000088,ACC0017,CUST0017,BR004,2023-08-14,17676.83,Payment,Branch,Completed,Service fee
TXN000089,ACC0404,CUST0404,BR010,2023-02-10,10634.22,Transfer,Mobile,Pending,ATM withdrawal
TXN000090,ACC0031,CUST0031,BR003,2023-09-22,14880.15,Fee,ATM,Completed,Service fee
TXN000091,ACC0359,CUST0359,BR007,2023-07-12,12516.8,Transfer,Online,Pending,Interest credit
TXN000092,ACC0310,CUST0310,BR005,2022-02-22,2292.26,Refund,Phone,Completed,Service fee
TXN000093,ACC0296,CUST0296,BR001,2022-12-25,11767.82,Payment,ATM,Completed,Wire transfer
TXN000094,ACC0497,CUST0497,BR002,2024-08-20,8705.55,Withdrawal,Online,Completed,Wire transfer
TXN000095,ACC0148,CUST0148,BR007,2022-03-17,11376.1,Withdrawal,ATM,Completed,Direct deposit
TXN000096,ACC0423,CUST0423,BR001,2024-08-04,10337.06,Deposit,ATM,Completed,Wire transfer
TXN000097,ACC0390,CUST0390,BR001,2023-02-21,6683.74,Deposit,ATM,Completed,ATM withdrawal
TXN000098,ACC0015,CUST0015,BR010,2023-05-06,17747.47,Withdrawal,Online,Completed,ATM withdrawal
TXN000099,ACC0237,CUST0237,BR002,2022-11-12,12464.4,Payment,Phone,Completed,Wire transfer
TXN000100,ACC0242,CUST0242,BR004,2024-07-24,13786.11,Withdrawal,Phone,Pending,ATM withdrawal
TXN000101,ACC0142,CUST0142,BR007,2023-11-28,23356.87,Transfer,Online,Completed,Overdraft fee
TXN000102,ACC0297,CUST0297,BR008,2022-11-01,11169.22,Transfer,ATM,Completed,Wire transfer
TXN000103,ACC0478,CUST0478,BR006,2023-01-22,24519.56,Deposit,Branch,Completed,Monthly deposit
TXN000104,ACC0163,CUST0163,BR008,2024-02-20,9658.11,Payment,Mobile,Completed,Direct deposit
TXN000105,ACC0495,CUST0495,BR010,2023-11-11,21743.81,Fee,Branch,Pending,Monthly deposit
TXN000106,ACC0370,CUST0370,BR003,2024-04-19,21774.61,Refund,Online,Failed,Interest credit
TXN000107,ACC0320,CUST0320,BR007,2022-06-14,21295.61,Fee,Phone,Completed,Wire transfer
TXN000108,ACC0447,CUST0447,BR009,2022-03-15,15440.31,Deposit,ATM,Completed,Transfer to savings
TXN000109,ACC0051,CUST0051,BR002,2024-06-27,4167.46,Withdrawal,Online,Completed,Service fee
TXN000110,ACC0184,CUST0184,BR006,2024-06-01,3647.79,Transfer,Phone,Completed,Bill payment
TXN000111,ACC0041,CUST0041,BR010,2024-02-23,15496.56,Deposit,Phone,Completed,Service fee
TXN000112,ACC0236,CUST0236,BR005,2022-01-20,22473.72,Transfer,ATM,Completed,Wire transfer
TXN000113,ACC0484,CUST0484,BR006,2023-09-05,15977.08,Withdrawal,ATM,Completed,Transfer to savings
TXN000114,ACC0437,CUST0437,BR008,2022-08-07,5937.77,Transfer,Phone,Completed,Monthly deposit
TXN000115,ACC0425,CUST0425,BR007,2023-07-17,212.37,Fee,Online,Completed,Service fee
TXN000116,ACC0398,CUST0398,BR004,2023-12-23,5482.92,Deposit,ATM,Completed,Bill payment
TXN000117,ACC0322,CUST0322,BR002,2022-03-22,7730.23,Withdrawal,Phone,Completed,Service fee
TXN000118,ACC0168,CUST0168,BR007,2022-12-26,5027.86,Payment,ATM,Pending,Bill payment
TXN000119,ACC0132,CUST0132,BR008,2023-08-28,18666.52,Withdrawal,Online,Completed,Loan payment
TXN000120,ACC0441,CUST0441,BR007,2024-01-20,2266.67,Withdrawal,ATM,Completed,Service fee
TXN000121,ACC0300,CUST0300,BR007,2024-01-31,2717.57,Deposit,Online,Failed,Interest credit
TXN000122,ACC0469,CUST0469,BR010,2023-03-30,16194.83,Transfer,Branch,Completed,Transfer to savings
TXN000123,ACC0060,CUST0060,BR003,2022-04-03,23657.08,Withdrawal,Branch,Completed,Direct deposit
TXN000124,ACC0070,CUST0070,BR007,2024-07-18,9281.58,Interest,Phone,Completed,Bill payment
TXN000125,ACC0454,CUST0454,BR007,2022-07-22,20843.99,Transfer,ATM,Completed,Wire transfer
TXN000126,ACC0228,CUST0228,BR004,2024-01-13,2492.87,Payment,Phone,Completed,Monthly deposit
TXN000127,ACC0204,CUST0204,BR005,2023-01-24,24205.49,Interest,Branch,Completed,Overdraft fee
TXN000128,ACC0498,CUST0498,BR001,2022-04-14,19672.0,Deposit,Mobile,Completed,Direct deposit
TXN000129,ACC0107,CUST0107,BR010,2023-03-19,20328.19,Deposit,Mobile,Completed,Service fee
TXN000130,ACC0440,CUST0440,BR003,2022-09-24,13509.98,Payment,Online,Completed,Monthly deposit
TXN000131,ACC0184,CUST0184,BR004,2023-10-26,404.37,Withdrawal,Mobile,Completed,ATM withdrawal
TXN000132,ACC0244,CUST0244,BR008,2024-01-12,12835.82,Deposit,Phone,Completed,Direct deposit
TXN000133,ACC0155,CUST0155,BR008,2022-03-05,1530.03,Transfer,Branch,Completed,Wire transfer
TXN000134,ACC0038,CUST0038,BR002,2023-10-22,15211.35,Deposit,ATM,Completed,Interest credit
TXN000135,ACC0196,CUST0196,BR010,2024-12-22,7379.49,Transfer,Branch,Completed,Direct deposit
TXN000136,ACC0370,CUST0370,BR004,2024-05-30,11294.36,Deposit,ATM,Completed,ATM withdrawal
TXN000137,ACC0161,CUST0161,BR007,2023-10-03,16631.05,Withdrawal,Mobile,Completed,ATM withdrawal
TXN000138,ACC0426,CUST0426,BR002,2022-07-10,10802.59,Payment,ATM,Completed,Overdraft fee
TXN000139,ACC0490,CUST0490,BR009,2023-11-07,16753.63,Withdrawal,Branch,Completed,Service fee
TXN000140,ACC0308,CUST0308,BR005,2023-12-22,2598.98,Transfer,Mobile,Completed,ATM withdrawal
TXN000141,ACC0180,CUST0180,BR009,2024-01-23,2880.98,Withdrawal,Mobile,Pending,Overdraft fee
TXN000142,ACC0315,CUST0315,BR009,2022-02-23,15228.78,Payment,ATM,Completed,Service fee
TXN000143,ACC0472,CUST0472,BR006,2023-12-20,162.58,Fee,Phone,Completed,Monthly deposit
TXN000144,ACC0047,CUST0047,BR009,2023-03-17,9411.1,Transfer,Mobile,Completed,Overdraft fee
TXN000145,ACC0306,CUST0306,BR002,2022-04-18,3897.94,Payment,Online,Completed,Transfer to savings
TXN000146,ACC0249,CUST0249,BR010,2024-06-24,10360.45,Deposit,Phone,Completed,Service fee
TXN000147,ACC0348,CUST0348,BR010,2024-09-23,13178.08,Withdrawal,Mobile,Completed,Monthly deposit
TXN000148,ACC0105,CUST0105,BR005,2023-03-09,19186.06,Payment,ATM,Completed,Transfer to savings
TXN000149,ACC0090,CUST0090,BR003,2024-02-18,13319.23,Deposit,Phone,Completed,ATM withdrawal
TXN000150,ACC0204,CUST0204,BR001,2024-06-12,478.35,Interest,ATM,Completed,Transfer to savings
TXN000151,ACC0149,CUST0149,BR002,2024-04-09,531.21,Withdrawal,Phone,Completed,Interest credit
TXN000152,ACC0046,CUST0046,BR007,2022-08-05,6090.48,Transfer,Phone,Pending,Interest credit
TXN000153,ACC0114,CUST0114,BR006,2022-12-11,1918.72,Transfer,Phone,Pending,Interest credit
TXN000154,ACC0180,CUST0180,BR003,2023-04-29,2579.09,Withdrawal,Mobile,Completed,ATM withdrawal
TXN000155,ACC0091,CUST0091,BR008,2024-08-08,18863.6,Payment,Branch,Pending,Overdraft fee
TXN000156,ACC0166,CUST0166,BR006,2022-11-06,10999.67,Transfer,ATM,Completed,Interest credit
TXN000157,ACC0260,CUST0260,BR002,2023-09-28,11548.94,Deposit,ATM,Completed,ATM withdrawal
TXN000158,ACC0315,CUST0315,BR010,2024-11-04,9618.22,Transfer,Online,Completed,Loan payment
TXN000159,ACC0165,CUST0165,BR010,2024-09-01,12539.17,Refund,Branch,Pending,Interest credit
TXN000160,ACC0366,CUST0366,BR002,2024-10-30,16156.72,Deposit,Branch,Completed,Overdraft fee
TXN000161,ACC0082,CUST0082,BR006,2024-02-03,22949.24,Withdrawal,ATM,Completed,Interest credit
TXN000162,ACC0034,CUST0034,BR006,2022-07-13,13953.5,Withdrawal,ATM,Completed,Overdraft fee
TXN000163,ACC0448,CUST0448,BR003,2023-11-14,2046.73,Payment,ATM,Completed,Transfer to savings
TXN000164,ACC0067,CUST0067,BR010,2022-06-23,7746.45,Withdrawal,ATM,Completed,Direct deposit
TXN000165,ACC0048,CUST0048,BR007,2024-11-07,9052.08,Withdrawal,Mobile,Completed,Wire transfer
TXN000166,ACC0099,CUST0099,BR004,2022-10-09,3882.08,Withdrawal,Online,Completed,Direct deposit
TXN000167,ACC0020,CUST0020,BR006,2022-09-26,14935.19,Deposit,Mobile,Completed,Bill payment
TXN000168,ACC0370,CUST0370,BR008,2022-03-31,10277.36,Payment,Mobile,Completed,Wire transfer
TXN000169,ACC0120,CUST0120,BR009,2023-05-05,7743.6,Fee,Branch,Completed,Overdraft fee
TXN000170,ACC0226,CUST0226,BR008,2023-08-01,19455.32,Transfer,Branch,Completed,Overdraft fee
TXN000171,ACC0071,CUST0071,BR005,2022-04-17,16033.06,Fee,Phone,Completed,Direct deposit
TXN000172,ACC0436,CUST0436,BR002,2023-08-07,2106.04,Deposit,Branch,Completed,Transfer to savings
TXN000173,ACC0047,CUST0047,BR004,2024-07-12,22116.9,Interest,Branch,Completed,Loan payment
TXN000174,ACC0198,CUST0198,BR002,2024-02-07,5621.22,Withdrawal,Online,Completed,Bill payment
TXN000175,ACC0071,CUST0071,BR001,2023-08-11,22935.73,Transfer,Mobile,Completed,Overdraft fee
TXN000176,ACC0003,CUST0003,BR002,2022-02-08,6405.54,Fee,Phone,Completed,Transfer to savings
TXN000177,ACC0057,CUST0057,BR005,2023-05-02,7535.77,Deposit,Branch,Completed,ATM withdrawal
TXN000178,ACC0057,CUST0057,BR008,2022-02-03,15802.55,Transfer,Mobile,Completed,Interest credit
TXN000179,ACC0124,CUST0124,BR010,2024-05-03,4690.97,Payment,Phone,Completed,Direct deposit
TXN000180,ACC0279,CUST0279,BR009,2024-11-05,13858.26,Withdrawal,Branch,Completed,Interest credit
TXN000181,ACC0130,CUST0130,BR001,2024-01-02,19715.12,Withdrawal,Online,Completed,Interest credit
TXN000182,ACC0069,CUST0069,BR001,2023-12-23,13654.88,Fee,Mobile,Completed,Wire transfer
TXN000183,ACC0324,CUST0324,BR003,2022-10-04,1586.88,Payment,Branch,Completed,Loan payment
TXN000184,ACC0454,CUST0454,BR001,2023-10-09,23334.94,Transfer,Phone,Completed,Loan payment
TXN000185,ACC0147,CUST0147,BR006,2022-04-08,21646.3,Withdrawal,Online,Completed,Transfer to savings
TXN000186,ACC0381,CUST0381,BR008,2024-03-02,8482.53,Deposit,Branch,Completed,Service fee
TXN000187,ACC0411,CUST0411,BR002,2024-05-19,1982.39,Transfer,Mobile,Completed,ATM withdrawal
TXN000188,ACC0168,CUST0168,BR005,2023-09-20,11153.43,Payment,Mobile,Completed,Monthly deposit
TXN000189,ACC0373,CUST0373,BR006,2024-06-09,6871.14,Refund,Online,Completed,Interest credit
TXN000190,ACC0263,CUST0263,BR003,2022-03-05,3578.06,Transfer,Branch,Completed,Interest credit
TXN000191,ACC0186,CUST0186,BR007,2022-03-08,15131.32,Payment,ATM,Completed,Overdraft fee
TXN000192,ACC0071,CUST0071,BR009,2024-01-22,9956.87,Transfer,Mobile,Completed,Bill payment
TXN000193,ACC0256,CUST0256,BR009,2024-03-03,22839.43,Deposit,ATM,Completed,Overdraft fee
TXN000194,ACC0147,CUST0147,BR008,2023-02-14,3074.71,Fee,Branch,Completed,ATM withdrawal
TXN000195,ACC0415,CUST0415,BR006,2023-12-13,17741.42,Transfer,ATM,Pending,Bill payment
TXN000196,ACC0407,CUST0407,BR006,2024-11-07,5613.8,Refund,Mobile,Completed,Interest credit
TXN000197,ACC0284,CUST0284,BR010,2024-01-26,11690.47,Refund,Mobile,Completed,Service fee
TXN000198,ACC0204,CUST0204,BR008,2024-12-12,10275.77,Withdrawal,Phone,Failed,ATM withdrawal
TXN000199,ACC0231,CUST0231,BR008,2024-11-25,8619.42,Fee,Phone,Completed,Bill payment
TXN000200,ACC0222,CUST0222,BR009,2022-04-24,20786.46,Transfer,ATM,Completed,Loan payment
TXN000201,ACC0178,CUST0178,BR009,2023-08-05,21149.88,Withdrawal,Phone,Completed,Overdraft fee
TXN000202,ACC0274,CUST0274,BR002,2024-10-26,16028.28,Transfer,Phone,Completed,Overdraft fee
TXN000203,ACC0173,CUST0173,BR010,2022-03-26,20632.65,Deposit,Online,Completed,Service fee
TXN000204,ACC0334,CUST0334,BR004,2024-05-03,15456.53,Deposit,Phone,Failed,Wire transfer
TXN000205,ACC0126,CUST0126,BR007,2023-09-02,11344.07,Payment,Mobile,Completed,Loan payment
TXN000206,ACC0175,CUST0175,BR010,2022-10-22,7821.44,Payment,ATM,Completed,Interest credit
TXN000207,ACC0264,CUST0264,BR009,2022-08-06,7984.71,Transfer,ATM,Completed,Monthly deposit
TXN000208,ACC0149,CUST0149,BR007,2024-05-06,6214.27,Fee,Mobile,Failed,Interest credit
TXN000209,ACC0098,CUST0098,BR003,2024-10-17,24899.28,Transfer,ATM,Completed,Transfer to savings
TXN000210,ACC0259,CUST0259,BR008,2023-05-09,5386.46,Withdrawal,Online,Completed,Wire transfer
TXN000211,ACC0147,CUST0147,BR009,2022-01-17,21180.84,Withdrawal,ATM,Completed,Interest credit
TXN000212,ACC0024,CUST0024,BR007,2022-04-15,14261.34,Deposit,Phone,Completed,Wire transfer
TXN000213,ACC0392,CUST0392,BR009,2023-07-27,20634.53,Transfer,Phone,Failed,Transfer to savings
TXN000214,ACC0192,CUST0192,BR006,2024-01-19,18876.58,Deposit,Phone,Completed,Monthly deposit
TXN000215,ACC0071,CUST0071,BR006,2024-08-28,12988.12,Deposit,Phone,Failed,Interest credit
TXN000216,ACC0084,CUST0084,BR007,2023-09-05,14847.18,Transfer,Phone,Completed,Service fee
TXN000217,ACC0244,CUST0244,BR001,2024-01-25,8287.68,Deposit,Branch,Completed,Monthly deposit
TXN000218,ACC0306,CUST0306,BR008,2023-06-28,24177.1,Payment,Phone,Completed,Overdraft fee
TXN000219,ACC0246,CUST0246,BR003,2024-12-09,15729.34,Transfer,Branch,Completed,Monthly deposit
TXN000220,ACC0294,CUST0294,BR002,2023-01-26,483.24,Withdrawal,Mobile,Completed,Direct deposit
TXN000221,ACC0397,CUST0397,BR010,2024-08-23,21821.71,Payment,Online,Completed,Direct deposit
TXN000222,ACC0167,CUST0167,BR008,2024-12-12,9426.85,Refund,Branch,Completed,Interest credit
TXN000223,ACC0347,CUST0347,BR005,2024-09-18,4814.68,Deposit,Phone,Failed,Service fee
TXN000224,ACC0395,CUST0395,BR005,2023-03-01,17259.1,Transfer,Branch,Failed,Service fee
TXN000225,ACC0148,CUST0148,BR002,2024-02-17,22395.05,Withdrawal,ATM,Completed,Service fee
TXN000226,ACC0022,CUST0022,BR005,2022-06-11,8665.62,Withdrawal,ATM,Completed,Direct deposit
TXN000227,ACC0139,CUST0139,BR009,2023-07-11,3440.45,Transfer,Phone,Completed,Direct deposit
TXN000228,ACC0116,CUST0116,BR004,2022-04-18,2513.95,Withdrawal,Branch,Completed,Monthly deposit
TXN000229,ACC0494,CUST0494,BR009,2022-11-20,10178.62,Interest,Branch,Completed,Service fee
TXN000230,ACC0165,CUST0165,BR005,2022-05-02,22699.34,Deposit,Phone,Completed,Monthly deposit
TXN000231,ACC0468,CUST0468,BR003,2024-05-05,22057.3,Deposit,Online,Completed,Wire transfer
TXN000232,ACC0096,CUST0096,BR005,2022-03-18,241.59,Transfer,Online,Completed,Wire transfer
TXN000233,ACC0329,CUST0329,BR009,2024-12-09,12352.87,Interest,Phone,Completed,ATM withdrawal
TXN000234,ACC0170,CUST0170,BR003,2024-07-28,16210.65,Payment,Online,Completed,Overdraft fee
TXN000235,ACC0346,CUST0346,BR004,2022-12-26,15277.75,Transfer,Branch,Completed,ATM withdrawal
TXN000236,ACC0206,CUST0206,BR002,2023-01-14,24542.31,Transfer,Mobile,Completed,Wire transfer
TXN000237,ACC0386,CUST0386,BR005,2023-11-07,7555.63,Payment,Online,Completed,Loan payment
TXN000238,ACC0032,CUST0032,BR002,2024-08-11,7677.09,Withdrawal,Phone,Pending,Service fee
TXN000239,ACC0354,CUST0354,BR002,2023-08-28,9194.92,Deposit,Mobile,Completed,Overdraft fee
TXN000240,ACC0192,CUST0192,BR007,2024-08-22,18936.19,Fee,Mobile,Completed,Overdraft fee
TXN000241,ACC0448,CUST0448,BR002,2024-12-12,11174.23,Payment,Online,Completed,Direct deposit
TXN000242,ACC0463,CUST0463,BR009,2023-02-19,14321.81,Deposit,ATM,Completed,Loan payment
TXN000243,ACC0368,CUST0368,BR010,2024-09-28,2282.63,Transfer,Online,Completed,Wire transfer
TXN000244,ACC0289,CUST0289,BR001,2024-08-04,16822.47,Withdrawal,Online,Completed,Loan payment
TXN000245,ACC0297,CUST0297,BR002,2022-04-03,10598.2,Payment,Phone,Failed,ATM withdrawal
TXN000246,ACC0479,CUST0479,BR008,2022-03-06,7184.4,Deposit,Mobile,Failed,Transfer to savings
TXN000247,ACC0192,CUST0192,BR007,2024-07-07,21741.81,Interest,Branch,Failed,Direct deposit
TXN000248,ACC0069,CUST0069,BR006,2022-08-31,4470.06,Transfer,Phone,Failed,Monthly deposit
TXN000249,ACC0388,CUST0388,BR001,2023-09-04,11580.47,Payment,Branch,Pending,Loan payment
TXN000250,ACC0236,CUST0236,BR006,2022-11-14,6898.49,Interest,Online,Completed,Overdraft fee
TXN000251,ACC0393,CUST0393,BR001,2023-05-08,5159.98,Deposit,Online,Completed,Monthly deposit
TXN000252,ACC0126,CUST0126,BR001,2024-04-03,10979.68,Transfer,Online,Failed,Loan payment
TXN000253,ACC0418,CUST0418,BR010,2023-10-16,14441.1,Payment,ATM,Pending,Direct deposit
TXN000254,ACC0114,CUST0114,BR007,2023-09-08,6886.1,Transfer,Phone,Pending,Transfer to savings
TXN000255,ACC0285,CUST0285,BR008,2022-04-07,24307.53,Interest,Branch,Completed,Transfer to savings
TXN000256,ACC0210,CUST0210,BR003,2023-09-07,9417.74,Payment,Branch,Completed,Bill payment
TXN000257,ACC0413,CUST0413,BR008,2022-04-29,14064.02,Refund,Phone,Completed,Service fee
