AccountID,CustomerID,AccountType,BranchID,OpenDate,Status,Balance
ACC0107,CUST0107,Money Market,BR009,2017-05-26,Active,7605.94
ACC0108,CUST0108,Investment,BR007,2017-07-14,Active,143712.19
ACC0109,CUST0109,Money Market,BR010,2016-01-24,Active,41368.06
ACC0110,CUST0110,Savings,BR009,2020-04-30,Active,52423.81
ACC0111,CUST0111,Checking,BR005,2020-08-29,Inactive,65220.12
ACC0112,CUST0112,Savings,BR004,2019-08-25,Active,93932.1
ACC0113,CUST0113,Savings,BR009,2017-01-09,Inactive,94362.67
ACC0114,CUST0114,Savings,BR003,2021-06-20,Active,99290.53
ACC0115,CUST0115,Money Market,BR008,2018-01-02,Closed,80141.54
ACC0116,CUST0116,Savings,BR007,2021-05-07,Inactive,9452.31
ACC0117,CUST0117,Checking,BR008,2016-08-28,Active,112091.81
ACC0118,CUST0118,Money Market,BR007,2019-08-08,Active,124617.05
ACC0119,CUST0119,Checking,BR004,2019-08-17,Active,43413.17
ACC0120,CUST0120,Checking,BR010,2017-08-25,Active,17477.01
ACC0121,CUST0121,Checking,BR004,2018-06-25,Active,84193.84
ACC0122,CUST0122,Savings,BR001,2017-04-07,Active,20896.38
ACC0123,CUST0123,Checking,BR005,2022-05-21,Active,96821.93
ACC0124,CUST0124,Checking,BR008,2015-03-23,Active,134527.57
ACC0125,CUST0125,Checking,BR005,2015-09-18,Closed,61347.52
ACC0126,CUST0126,Savings,BR002,2019-06-14,Closed,108773.05
ACC0127,CUST0127,Checking,BR002,2021-05-27,Inactive,139973.85
ACC0128,CUST0128,Savings,BR010,2020-11-21,Active,132742.45
ACC0129,CUST0129,Checking,BR002,2018-07-07,Active,87856.77
ACC0130,CUST0130,Savings,BR004,2019-09-29,Active,16468.69
ACC0131,CUST0131,Checking,BR005,2019-12-06,Active,129503.54
ACC0132,CUST0132,Checking,BR009,2019-03-15,Active,17387.72
ACC0133,CUST0133,Savings,BR008,2022-08-28,Active,42021.2
ACC0134,CUST0134,Money Market,BR003,2019-01-26,Active,55477.02
ACC0135,CUST0135,Checking,BR010,2015-05-23,Inactive,99502.4
ACC0136,CUST0136,CD,BR004,2017-11-02,Active,46735.64
ACC0137,CUST0137,Investment,BR006,2022-09-07,Active,130109.46
ACC0138,CUST0138,CD,BR007,2015-02-02,Closed,59249.85
ACC0139,CUST0139,Investment,BR005,2018-05-17,Active,123494.8
ACC0140,CUST0140,Checking,BR004,2016-10-18,Closed,94887.23
ACC0141,CUST0141,CD,BR007,2015-05-19,Active,12474.14
ACC0142,CUST0142,Money Market,BR008,2020-04-13,Inactive,139011.33
ACC0143,CUST0143,Checking,BR007,2016-02-16,Inactive,104923.09
ACC0144,CUST0144,Savings,BR006,2019-09-20,Active,122107.49
ACC0145,CUST0145,Money Market,BR008,2022-10-18,Active,8288.77
ACC0146,CUST0146,Savings,BR008,2022-03-10,Active,60398.95
ACC0147,CUST0147,Savings,BR006,2021-06-16,Active,24094.45
ACC0148,CUST0148,Savings,BR003,2021-08-30,Active,119000.02
ACC0149,CUST0149,Checking,BR008,2023-03-31,Active,26435.11
ACC0150,CUST0150,Savings,BR006,2018-02-28,Active,62467.22
ACC0151,CUST0151,Checking,BR007,2021-05-25,Active,142242.33
ACC0152,CUST0152,CD,BR010,2022-01-10,Active,13802.0
ACC0153,CUST0153,Savings,BR005,2022-11-12,Inactive,7942.55
ACC0154,CUST0154,Savings,BR010,2017-12-01,Active,143725.91
ACC0155,CUST0155,Checking,BR010,2016-04-25,Active,79112.74
ACC0156,CUST0156,Money Market,BR008,2022-07-22,Active,34060.35
ACC0157,CUST0157,Checking,BR005,2018-03-25,Inactive,57619.99
ACC0158,CUST0158,Savings,BR004,2021-09-23,Active,123701.29
ACC0159,CUST0159,Money Market,BR004,2019-09-10,Active,118973.3
ACC0160,CUST0160,Checking,BR005,2017-08-22,Active,136145.57
ACC0161,CUST0161,Savings,BR008,2015-12-18,Active,20414.14
ACC0162,CUST0162,Checking,BR007,2022-09-14,Active,57832.57
ACC0163,CUST0163,Savings,BR010,2017-11-15,Active,83771.5
ACC0164,CUST0164,Checking,BR004,2020-04-12,Closed,149512.55
ACC0165,CUST0165,CD,BR010,2022-12-16,Inactive,7304.02
ACC0166,CUST0166,Checking,BR010,2019-04-10,Active,59507.17
ACC0167,CUST0167,Savings,BR009,2015-06-18,Active,39413.6
ACC0168,CUST0168,Savings,BR006,2020-04-01,Active,47938.95
ACC0169,CUST0169,Savings,BR003,2017-12-02,Active,7102.24
ACC0170,CUST0170,Checking,BR005,2023-05-22,Active,64797.86
ACC0171,CUST0171,CD,BR005,2021-11-15,Inactive,139044.17
ACC0172,CUST0172,Savings,BR007,2016-11-06,Active,149187.48
ACC0173,CUST0173,Money Market,BR003,2021-03-26,Inactive,98784.21
ACC0174,CUST0174,Money Market,BR001,2017-02-12,Active,34864.15
ACC0175,CUST0175,Checking,BR005,2016-10-31,Inactive,65746.27
ACC0176,CUST0176,Investment,BR008,2015-06-17,Active,148328.38
ACC0177,CUST0177,Savings,BR008,2020-07-12,Active,108104.71
ACC0178,CUST0178,Checking,BR006,2016-01-19,Active,42975.41
ACC0179,CUST0179,Money Market,BR009,2018-01-22,Active,99639.08
ACC0180,CUST0180,Checking,BR001,2020-11-24,Inactive,27495.04
ACC0181,CUST0181,CD,BR004,2020-08-02,Active,133161.47
ACC0182,CUST0182,Checking,BR002,2019-06-03,Active,139407.69
ACC0183,CUST0183,Checking,BR006,2016-09-21,Active,69304.86
ACC0184,CUST0184,Money Market,BR008,2020-02-03,Active,40763.11
ACC0185,CUST0185,Savings,BR006,2015-06-29,Active,142658.95
ACC0186,CUST0186,Checking,BR010,2016-06-13,Active,7778.0
ACC0187,CUST0187,Savings,BR006,2015-08-16,Inactive,82299.86
ACC0188,CUST0188,Savings,BR002,2019-06-22,Active,36391.98
ACC0189,CUST0189,Money Market,BR007,2016-01-01,Active,31629.3
ACC0190,CUST0190,Savings,BR007,2018-03-13,Active,143187.65
ACC0191,CUST0191,Checking,BR005,2020-07-03,Inactive,110515.45
ACC0192,CUST0192,CD,BR010,2016-06-21,Active,14868.67
ACC0193,CUST0193,Savings,BR004,2020-06-28,Active,58519.38
ACC0194,CUST0194,Checking,BR010,2019-09-29,Active,63669.18
ACC0195,CUST0195,Savings,BR003,2019-11-14,Active,14395.65
ACC0196,CUST0196,Savings,BR008,2022-08-02,Active,103092.36
ACC0197,CUST0197,Checking,BR008,2020-11-29,Active,78939.33
ACC0198,CUST0198,Checking,BR007,2015-11-21,Closed,71902.9
ACC0199,CUST0199,Checking,BR003,2022-09-03,Closed,126309.92
ACC0200,CUST0200,Savings,BR005,2021-05-17,Active,11941.61
ACC0201,CUST0201,Checking,BR002,2020-09-22,Active,14625.41
ACC0202,CUST0202,Savings,BR010,2017-11-03,Active,88042.4
ACC0203,CUST0203,Money Market,BR001,2016-04-11,Inactive,69700.4
ACC0204,CUST0204,Money Market,BR007,2015-07-05,Active,131574.92
ACC0205,CUST0205,Checking,BR010,2023-02-13,Active,100703.85
ACC0206,CUST0206,Savings,BR005,2018-10-30,Closed,130766.05
ACC0207,CUST0207,Checking,BR003,2015-11-17,Inactive,90805.9
ACC0208,CUST0208,CD,BR002,2019-11-12,Active,1374.14
ACC0209,CUST0209,Checking,BR003,2022-05-10,Active,103925.03
ACC0210,CUST0210,CD,BR010,2023-02-21,Active,92965.66
ACC0211,CUST0211,Investment,BR006,2022-09-29,Active,103698.86
ACC0212,CUST0212,Savings,BR005,2015-12-25,Active,2574.45
ACC0213,CUST0213,Checking,BR001,2022-10-21,Closed,128922.3
ACC0214,CUST0214,Checking,BR003,2022-04-15,Active,126392.41
ACC0215,CUST0215,CD,BR009,2017-02-20,Active,115573.31
ACC0216,CUST0216,Checking,BR007,2015-03-31,Active,135411.09
ACC0217,CUST0217,Money Market,BR008,2020-06-09,Active,129039.57
ACC0218,CUST0218,Savings,BR004,2018-04-22,Active,125158.86
ACC0219,CUST0219,Checking,BR001,2016-02-25,Active,107107.38
ACC0220,CUST0220,Investment,BR008,2023-04-08,Active,109796.24
ACC0221,CUST0221,Investment,BR001,2020-06-19,Active,77246.68
ACC0222,CUST0222,Money Market,BR008,2017-08-07,Inactive,79482.17
ACC0223,CUST0223,Savings,BR006,2021-03-16,Active,133985.14
ACC0224,CUST0224,Savings,BR008,2016-04-23,Active,140875.19
ACC0225,CUST0225,Checking,BR007,2015-03-27,Active,109068.27
ACC0226,CUST0226,Savings,BR008,2017-08-08,Active,88354.98
ACC0227,CUST0227,Savings,BR010,2023-01-08,Active,20108.21
ACC0228,CUST0228,Checking,BR007,2019-09-04,Inactive,101129.54
ACC0229,CUST0229,Money Market,BR008,2016-10-25,Active,42727.35
ACC0230,CUST0230,Money Market,BR008,2016-06-12,Active,23868.96
ACC0231,CUST0231,Savings,BR007,2020-07-15,Active,31810.22
ACC0232,CUST0232,Checking,BR001,2019-01-09,Inactive,53878.06
ACC0233,CUST0233,Checking,BR009,2015-05-11,Inactive,50991.35
ACC0234,CUST0234,Checking,BR004,2016-05-09,Active,73211.61
ACC0235,CUST0235,Investment,BR006,2015-07-11,Inactive,83774.84
ACC0236,CUST0236,CD,BR009,2021-10-11,Active,106107.54
ACC0237,CUST0237,CD,BR008,2020-02-16,Closed,113486.77
ACC0238,CUST0238,Investment,BR010,2021-11-02,Inactive,142133.83
ACC0239,CUST0239,Money Market,BR001,2020-09-08,Active,94673.95
ACC0240,CUST0240,CD,BR006,2016-10-05,Inactive,106370.42
ACC0241,CUST0241,Money Market,BR008,2023-03-20,Inactive,23567.21
ACC0242,CUST0242,Savings,BR003,2016-05-18,Inactive,66146.71
ACC0243,CUST0243,Savings,BR001,2017-10-01,Inactive,71312.67
ACC0244,CUST0244,Checking,BR003,2015-12-16,Active,107422.36
ACC0245,CUST0245,Savings,BR004,2016-09-12,Inactive,79682.72
ACC0246,CUST0246,Money Market,BR003,2019-10-23,Active,61691.74
ACC0247,CUST0247,Savings,BR009,2022-08-26,Active,4949.56
ACC0248,CUST0248,Checking,BR001,2023-01-18,Inactive,141574.6
ACC0249,CUST0249,Checking,BR006,2019-07-04,Closed,25066.54
ACC0250,CUST0250,Checking,BR001,2022-05-28,Closed,23067.34
ACC0251,CUST0251,Savings,BR009,2018-04-26,Active,132924.54
ACC0252,CUST0252,Money Market,BR005,2023-02-03,Inactive,136430.01
ACC0253,CUST0253,Checking,BR005,2020-12-01,Active,22455.84
ACC0254,CUST0254,Savings,BR004,2021-02-07,Active,92919.03
ACC0255,CUST0255,Savings,BR006,2022-04-11,Active,29995.72
ACC0256,CUST0256,Checking,BR001,2021-01-10,Active,108902.25
ACC0257,CUST0257,Money Market,BR003,2020-11-01,Closed,42947.21
ACC0258,CUST0258,Checking,BR009,2018-07-02,Active,113678.43
ACC0259,CUST0259,Checking,BR001,2021-01-20,Active,36580.3
ACC0260,CUST0260,Money Market,BR007,2020-08-31,Active,9461.89
ACC0261,CUST0261,Savings,BR009,2018-12-22,Active,113605.71
ACC0262,CUST0262,CD,BR008,2018-05-05,Active,1279.4
ACC0263,CUST0263,Checking,BR004,2023-05-13,Closed,85056.79
ACC0264,CUST0264,CD,BR009,2021-09-05,Active,45230.64
ACC0265,CUST0265,Savings,BR010,2022-07-17,Active,56961.03
ACC0266,CUST0266,Money Market,BR002,2018-09-04,Active,29287.01
ACC0267,CUST0267,Money Market,BR008,2016-02-06,Active,64140.97
ACC0268,CUST0268,Savings,BR002,2015-09-12,Active,19944.47
ACC0269,CUST0269,Checking,BR002,2019-02-21,Active,60711.68
ACC0270,CUST0270,Savings,BR007,2017-12-16,Active,95650.94
ACC0271,CUST0271,Investment,BR008,2023-03-17,Closed,123659.87
ACC0272,CUST0272,Checking,BR003,2020-06-08,Inactive,19843.09
ACC0273,CUST0273,Money Market,BR009,2016-04-28,Active,68587.14
ACC0274,CUST0274,Checking,BR003,2021-04-08,Active,142797.35
ACC0275,CUST0275,Savings,BR007,2016-03-27,Active,85978.83
ACC0276,CUST0276,Checking,BR003,2016-04-27,Active,148657.51
ACC0277,CUST0277,Checking,BR008,2015-04-25,Inactive,21749.9
ACC0278,CUST0278,Savings,BR001,2018-06-03,Inactive,32729.43
ACC0279,CUST0279,Money Market,BR008,2015-01-09,Active,52623.02
ACC0280,CUST0280,CD,BR007,2020-05-24,Active,85081.71
ACC0281,CUST0281,CD,BR007,2020-04-30,Inactive,125135.68
ACC0282,CUST0282,Checking,BR003,2020-08-29,Active,114370.98
ACC0283,CUST0283,Savings,BR003,2023-03-01,Active,120071.84
ACC0284,CUST0284,Savings,BR007,2019-05-06,Active,59611.87
ACC0285,CUST0285,Savings,BR008,2023-04-03,Active,13735.22
ACC0286,CUST0286,Checking,BR001,2021-05-31,Active,115853.47
ACC0287,CUST0287,Checking,BR002,2022-03-22,Active,29267.8
ACC0288,CUST0288,Savings,BR010,2015-08-05,Closed,78502.19
ACC0289,CUST0289,Money Market,BR009,2015-03-18,Active,140459.18
ACC0290,CUST0290,Checking,BR001,2018-01-31,Inactive,37170.36
ACC0291,CUST0291,Money Market,BR010,2019-12-25,Active,80264.81
ACC0292,CUST0292,Checking,BR010,2015-07-04,Active,140110.39
ACC0293,CUST0293,Checking,BR003,2019-08-27,Active,79421.31
ACC0294,CUST0294,Savings,BR002,2016-04-14,Closed,81496.0
ACC0295,CUST0295,Checking,BR003,2017-11-12,Inactive,23556.99
ACC0296,CUST0296,Investment,BR003,2015-08-30,Active,49130.96
ACC0297,CUST0297,Checking,BR001,2018-05-05,Active,48346.2
ACC0298,CUST0298,Savings,BR006,2017-11-22,Active,124247.34
ACC0299,CUST0299,Checking,BR004,2017-09-08,Inactive,88111.35
ACC0300,CUST0300,Savings,BR009,2019-04-27,Closed,40758.49
ACC0301,CUST0301,Checking,BR009,2019-07-26,Active,4821.51
ACC0302,CUST0302,Savings,BR001,2018-01-07,Active,88132.82
ACC0303,CUST0303,Checking,BR009,2022-04-22,Inactive,46039.62
ACC0304,CUST0304,Savings,BR002,2022-02-17,Active,117540.8
ACC0305,CUST0305,Checking,BR009,2016-11-19,Inactive,80861.58
ACC0306,CUST0306,Savings,BR009,2020-01-25,Active,121990.24
ACC0307,CUST0307,Investment,BR010,2018-03-30,Active,25523.56
ACC0308,CUST0308,Checking,BR008,2018-01-24,Active,126003.41
ACC0309,CUST0309,Savings,BR006,2022-02-02,Active,126182.29
ACC0310,CUST0310,Checking,BR003,2023-04-16,Active,10955.32
ACC0311,CUST0311,Checking,BR002,2016-07-26,Inactive,149823.78
ACC0312,CUST0312,CD,BR004,2021-11-05,Active,120407.45
ACC0313,CUST0313,CD,BR006,2022-02-14,Active,113027.75
ACC0314,CUST0314,Savings,BR004,2022-06-05,Closed,51573.66
ACC0315,CUST0315,Savings,BR010,2018-09-07,Active,103930.84
ACC0316,CUST0316,Savings,BR001,2021-10-29,Active,135266.03
ACC0317,CUST0317,Savings,BR007,2021-03-26,Inactive,105643.3
ACC0318,CUST0318,Money Market,BR009,2015-11-29,Inactive,97540.04
ACC0319,CUST0319,Checking,BR001,2022-07-13,Active,18950.63
ACC0320,CUST0320,Investment,BR007,2021-09-28,Active,26989.4
ACC0321,CUST0321,Money Market,BR001,2016-05-26,Active,140469.05
ACC0322,CUST0322,Savings,BR004,2023-05-02,Active,42529.61
ACC0323,CUST0323,CD,BR006,2017-02-23,Active,92209.68
ACC0324,CUST0324,Checking,BR004,2017-08-17,Closed,145110.83
ACC0325,CUST0325,Checking,BR008,2022-11-23,Inactive,31758.41
ACC0326,CUST0326,Checking,BR007,2016-03-30,Inactive,85580.78
ACC0327,CUST0327,Savings,BR009,2017-03-04,Active,85073.2
ACC0328,CUST0328,Savings,BR010,2016-12-19,Active,19672.84
ACC0329,CUST0329,Checking,BR005,2021-05-23,Inactive,132209.96
ACC0330,CUST0330,Money Market,BR005,2017-02-24,Inactive,3956.07
ACC0331,CUST0331,Investment,BR009,2021-11-21,Active,84237.34
ACC0332,CUST0332,Savings,BR007,2022-03-10,Active,97679.49
ACC0333,CUST0333,CD,BR006,2019-11-07,Inactive,61327.95
ACC0334,CUST0334,Checking,BR009,2020-03-26,Active,77829.91
ACC0335,CUST0335,Checking,BR004,2015-07-12,Active,63299.28
ACC0336,CUST0336,Savings,BR001,2019-05-25,Active,12730.43
ACC0337,CUST0337,Savings,BR001,2023-04-09,Active,103587.57
ACC0338,CUST0338,Investment,BR004,2017-03-17,Active,46965.48
ACC0339,CUST0339,Savings,BR002,2015-04-25,Active,121304.83
ACC0340,CUST0340,Savings,BR006,2017-10-22,Active,71299.69
ACC0341,CUST0341,Investment,BR001,2018-09-28,Active,35893.18
ACC0342,CUST0342,Checking,BR010,2021-12-12,Active,14802.78
ACC0343,CUST0343,Savings,BR002,2015-12-17,Closed,137548.8
ACC0344,CUST0344,Savings,BR002,2016-06-06,Active,120456.87
ACC0345,CUST0345,Checking,BR010,2022-01-08,Active,15723.22
ACC0346,CUST0346,Checking,BR001,2018-04-22,Inactive,60551.62
ACC0347,CUST0347,Savings,BR007,2017-08-12,Inactive,118227.48
ACC0348,CUST0348,Savings,BR008,2019-04-22,Active,64501.81
ACC0349,CUST0349,Savings,BR002,2018-10-23,Active,101528.53
ACC0350,CUST0350,Checking,BR009,2018-09-06,Active,16646.99
ACC0351,CUST0351,Checking,BR002,2021-08-25,Inactive,29445.37
ACC0352,CUST0352,Savings,BR009,2017-11-15,Active,72469.2
ACC0353,CUST0353,Savings,BR003,2017-09-22,Active,7088.58
ACC0354,CUST0354,Checking,BR010,2019-11-21,Active,97929.89
ACC0355,CUST0355,Savings,BR010,2021-01-25,Inactive,22537.65
ACC0356,CUST0356,Checking,BR006,2018-04-07,Active,1708.24
ACC0357,CUST0357,Savings,BR003,2015-08-23,Active,122967.98
ACC0358,CUST0358,Savings,BR001,2019-09-25,Active,146488.36
ACC0359,CUST0359,Savings,BR004,2015-10-08,Active,100345.09
ACC0360,CUST0360,Savings,BR008,2021-09-22,Active,127875.3
ACC0361,CUST0361,Savings,BR006,2021-11-28,Active,49628.55
ACC0362,CUST0362,Checking,BR001,2020-07-24,Active,1052.71
ACC0363,CUST0363,Checking,BR004,2020-03-25,Active,36233.35
ACC0364,CUST0364,Money Market,BR006,2023-04-20,Active,60346.73
ACC0365,CUST0365,Money Market,BR001,2019-01-26,Active,54004.06
ACC0366,CUST0366,Savings,BR003,2018-04-05,Active,94884.52
ACC0367,CUST0367,CD,BR006,2015-06-29,Closed,30268.87
ACC0368,CUST0368,Checking,BR004,2017-12-09,Inactive,51302.72
ACC0369,CUST0369,Savings,BR003,2017-03-13,Active,126510.77
ACC0370,CUST0370,CD,BR001,2022-08-06,Active,98402.94
ACC0371,CUST0371,CD,BR006,2017-05-11,Active,36402.41
ACC0372,CUST0372,Money Market,BR003,2020-11-28,Closed,149655.39
ACC0373,CUST0373,CD,BR002,2016-04-30,Active,138661.24
ACC0374,CUST0374,Money Market,BR004,2020-12-21,Active,56451.17
ACC0375,CUST0375,Savings,BR004,2015-07-09,Inactive,88305.22
ACC0376,CUST0376,CD,BR005,2016-08-31,Active,8462.22
ACC0377,CUST0377,Money Market,BR003,2020-09-12,Closed,132932.23
ACC0378,CUST0378,Checking,BR002,2020-04-11,Inactive,92425.52
ACC0379,CUST0379,Checking,BR007,2023-06-05,Inactive,112794.87
ACC0380,CUST0380,Savings,BR009,2020-03-16,Active,107016.79
ACC0381,CUST0381,Savings,BR008,2023-01-10,Closed,71326.84
ACC0382,CUST0382,Savings,BR010,2022-04-15,Active,33319.18
ACC0383,CUST0383,Checking,BR004,2019-06-10,Active,64040.92
ACC0384,CUST0384,Savings,BR003,2019-03-13,Active,13171.46
ACC0385,CUST0385,Money Market,BR005,2019-12-26,Active,34911.55
ACC0386,CUST0386,Checking,BR009,2021-12-19,Active,67947.1
ACC0387,CUST0387,Savings,BR006,2020-07-30,Active,57664.45
ACC0388,CUST0388,Checking,BR004,2017-12-23,Active,54184.39
ACC0389,CUST0389,Checking,BR009,2020-10-01,Active,12184.77
ACC0390,CUST0390,Checking,BR004,2016-02-08,Active,54355.42
ACC0391,CUST0391,Savings,BR006,2017-03-16,Active,37878.53
ACC0392,CUST0392,Money Market,BR005,2017-02-19,Inactive,149700.36
