TransactionID,AccountID,Amount,TransactionDate,TransactionTime,MerchantCategory,Location,PreviousLocation,TimeSinceLastTxnMins,NumTxnLast24h,AvgTxnAmount30d,IsFraud
FRD0023,ACC0055,1648.21,2024-07-16,08:09:05,Wire Transfer,Overseas,Overseas,4,22,255.09,1
FRD0024,ACC0064,599.69,2024-05-16,07:45:13,Gas Station,Westside,Eastside,842,2,232.72,0
FRD0025,ACC0027,32.73,2024-07-16,06:52:18,Restaurant,Unknown,Eastside,596,2,320.31,0
FRD0026,ACC0032,2898.65,2024-06-17,18:43:41,Electronics,Overseas,Airport,3,20,218.58,1
FRD0027,ACC0092,2047.18,2024-06-19,22:27:47,Wire Transfer,Overseas,Westside,2,23,276.14,1
FRD0028,ACC0078,4676.33,2024-07-25,19:45:47,Electronics,Overseas,Downtown,4,19,74.38,1
FRD0029,ACC0072,114.22,2024-05-06,18:11:16,Shopping,Overseas,Uptown,709,4,96.64,0
FRD0030,ACC0015,723.21,2024-06-10,01:08:31,Gas Station,Unknown,Westside,599,3,272.98,0
FRD0031,ACC0056,159.25,2024-05-22,10:47:31,Grocery,Airport,Uptown,171,2,116.08,0
FRD0032,ACC0061,1928.31,2024-06-03,05:45:29,Electronics,Overseas,Unknown,3,25,166.15,1
FRD0033,ACC0064,152.72,2024-05-15,23:55:09,Gas Station,Eastside,Midtown,404,3,294.73,0
FRD0034,ACC0085,616.92,2024-07-14,06:37:00,Restaurant,Midtown,Uptown,253,3,42.2,0
FRD0035,ACC0088,74.04,2024-07-27,03:25:23,Grocery,Uptown,Midtown,1410,4,243.41,0
FRD0036,ACC0035,758.46,2024-07-16,21:00:21,Gas Station,Airport,Downtown,1225,2,129.34,0
FRD0037,ACC0007,325.1,2024-07-22,09:20:51,Grocery,Unknown,Downtown,424,2,483.57,0
FRD0038,ACC0052,521.26,2024-05-12,00:54:13,Gas Station,Unknown,Uptown,1399,2,86.68,0
FRD0039,ACC0063,535.76,2024-06-25,23:51:58,Gas Station,Uptown,Westside,812,2,260.12,0
FRD0040,ACC0050,10015.44,2024-06-30,08:36:38,Electronics,Overseas,Unknown,2,21,203.98,1
FRD0041,ACC0012,426.55,2024-05-06,16:21:29,Shopping,Uptown,Eastside,1385,1,166.63,0
FRD0042,ACC0056,423.24,2024-05-11,15:19:09,Restaurant,Westside,Uptown,665,1,288.97,0
FRD0043,ACC0006,5232.31,2024-07-05,03:32:27,ATM,Overseas,Unknown,1,24,44.23,1
FRD0044,ACC0095,338.84,2024-07-24,14:11:50,Grocery,Downtown,Uptown,669,3,305.99,0
FRD0045,ACC0059,156.22,2024-07-25,14:39:51,Restaurant,Uptown,Westside,1297,3,439.66,0
FRD0046,ACC0014,8385.91,2024-06-25,17:01:00,Wire Transfer,Unknown,Unknown,4,20,265.88,1
FRD0047,ACC0096,79.23,2024-07-17,23:31:19,Gas Station,Unknown,Overseas,336,1,119.68,0
FRD0048,ACC0003,201.01,2024-07-29,06:54:01,ATM,Uptown,Eastside,1342,2,70.46,0
FRD0049,ACC0099,9257.2,2024-06-29,04:30:27,Wire Transfer,Unknown,Downtown,4,23,162.59,1
FRD0050,ACC0058,2577.97,2024-07-14,07:12:18,Wire Transfer,Overseas,Unknown,4,21,260.64,1
FRD0051,ACC0095,6604.06,2024-07-14,19:46:35,Electronics,Overseas,Westside,4,15,225.72,1
FRD0052,ACC0068,102.38,2024-05-03,13:36:20,Shopping,Unknown,Midtown,1335,3,240.71,0
FRD0053,ACC0056,411.03,2024-05-03,05:18:46,Restaurant,Airport,Eastside,1263,3,463.22,0
FRD0054,ACC0092,668.13,2024-07-24,14:08:56,Shopping,Unknown,Westside,1438,3,404.11,0
FRD0055,ACC0021,167.59,2024-07-19,06:18:44,Restaurant,Uptown,Midtown,1300,4,77.42,0
FRD0056,ACC0054,292.06,2024-07-03,09:15:13,Gas Station,Overseas,Downtown,384,2,419.14,0
FRD0057,ACC0065,187.04,2024-05-05,02:21:27,Electronics,Midtown,Midtown,588,3,398.9,0
FRD0058,ACC0099,49.83,2024-05-06,17:17:57,ATM,Midtown,Uptown,956,4,482.44,0
FRD0059,ACC0097,93.27,2024-05-15,03:50:39,Electronics,Downtown,Midtown,1350,1,439.31,0
FRD0060,ACC0047,697.69,2024-05-21,23:18:45,ATM,Airport,Airport,375,3,187.27,0
FRD0061,ACC0018,236.54,2024-05-16,06:28:26,Gas Station,Airport,Downtown,410,1,155.03,0
FRD0062,ACC0092,9765.77,2024-06-23,11:40:42,Electronics,Overseas,Eastside,2,21,147.49,1
FRD0063,ACC0053,618.42,2024-06-28,16:50:43,Restaurant,Airport,Overseas,1119,1,69.85,0
FRD0064,ACC0041,55.67,2024-06-21,05:27:03,Electronics,Uptown,Unknown,1353,3,227.07,0
FRD0065,ACC0088,721.16,2024-07-29,17:55:19,Gas Station,Downtown,Overseas,1310,2,359.14,0
FRD0066,ACC0058,705.97,2024-07-22,06:56:34,Restaurant,Unknown,Airport,232,1,282.59,0
FRD0067,ACC0050,6974.03,2024-05-17,16:34:18,ATM,Overseas,Eastside,2,8,47.25,1
FRD0068,ACC0070,57.36,2024-07-15,08:15:53,ATM,Midtown,Westside,823,3,324.69,0
FRD0069,ACC0046,277.79,2024-05-16,01:48:41,Shopping,Downtown,Midtown,543,2,194.66,0
FRD0070,ACC0037,269.0,2024-07-25,22:36:43,Grocery,Eastside,Uptown,1252,2,416.74,0
FRD0071,ACC0047,59.13,2024-06-28,03:09:45,Grocery,Midtown,Unknown,326,4,130.95,0
FRD0072,ACC0010,344.5,2024-06-17,21:33:25,ATM,Airport,Unknown,961,4,373.91,0
FRD0073,ACC0054,415.42,2024-05-21,04:32:08,ATM,Uptown,Airport,1143,1,356.4,0
FRD0074,ACC0059,683.33,2024-06-30,01:47:10,Electronics,Midtown,Overseas,285,1,203.71,0
FRD0075,ACC0038,242.25,2024-05-06,16:09:07,Gas Station,Overseas,Overseas,117,2,96.81,0
FRD0076,ACC0076,657.11,2024-06-23,01:59:57,Restaurant,Eastside,Westside,1061,1,87.49,0
FRD0077,ACC0045,385.43,2024-05-09,01:26:30,Shopping,Overseas,Westside,1300,2,388.12,0
FRD0078,ACC0065,2437.81,2024-07-21,14:48:28,ATM,Overseas,Airport,4,20,100.53,1
FRD0079,ACC0051,568.69,2024-06-13,17:02:42,Restaurant,Midtown,Airport,1231,3,293.69,0
FRD0080,ACC0016,407.08,2024-07-22,17:05:12,Shopping,Eastside,Downtown,98,1,339.38,0
FRD0081,ACC0069,647.47,2024-05-24,00:17:50,Grocery,Airport,Eastside,1302,3,218.84,0
FRD0082,ACC0006,213.17,2024-07-02,00:21:27,Shopping,Overseas,Uptown,294,1,284.64,0
FRD0083,ACC0037,8625.39,2024-05-19,05:16:49,Electronics,Overseas,Midtown,1,18,87.18,1
FRD0084,ACC0092,4208.31,2024-05-08,09:24:06,ATM,Overseas,Overseas,1,9,92.67,1
FRD0085,ACC0097,261.49,2024-07-16,18:15:31,Grocery,Westside,Unknown,1192,4,60.77,0
FRD0086,ACC0004,612.75,2024-06-22,20:14:58,Restaurant,Midtown,Downtown,1394,2,173.17,0
FRD0087,ACC0053,436.95,2024-06-27,02:54:40,Gas Station,Uptown,Eastside,404,2,282.64,0
FRD0088,ACC0055,777.94,2024-07-11,14:02:00,ATM,Westside,Airport,61,1,468.75,0
FRD0089,ACC0062,674.14,2024-06-04,19:16:53,Electronics,Eastside,Unknown,636,1,105.87,0
FRD0090,ACC0069,449.62,2024-07-12,02:19:05,ATM,Uptown,Unknown,632,4,129.1,0
FRD0091,ACC0065,204.28,2024-06-10,21:21:40,Gas Station,Airport,Westside,718,3,128.99,0
FRD0092,ACC0077,386.46,2024-06-12,00:58:44,Electronics,Downtown,Uptown,79,2,224.19,0
FRD0093,ACC0090,107.5,2024-07-02,12:34:05,ATM,Airport,Midtown,830,3,211.77,0
FRD0094,ACC0099,185.0,2024-07-29,00:07:29,Grocery,Airport,Overseas,100,3,349.86,0
FRD0095,ACC0091,784.29,2024-06-15,06:05:52,Restaurant,Eastside,Westside,803,1,161.96,0
FRD0096,ACC0091,7475.57,2024-07-17,06:00:12,ATM,Overseas,Unknown,4,13,183.46,1
FRD0097,ACC0085,9332.72,2024-07-12,21:43:38,Wire Transfer,Unknown,Uptown,2,16,282.73,1
FRD0098,ACC0030,545.41,2024-07-06,23:50:17,ATM,Downtown,Eastside,1318,3,349.92,0
FRD0099,ACC0059,677.03,2024-05-01,13:41:43,Shopping,Overseas,Downtown,893,3,87.21,0
FRD0100,ACC0067,229.57,2024-06-29,15:23:33,Grocery,Eastside,Downtown,920,4,178.63,0
FRD0101,ACC0051,344.82,2024-05-25,10:05:56,ATM,Eastside,Downtown,212,2,122.53,0
FRD0102,ACC0043,9984.62,2024-06-09,02:40:40,Electronics,Overseas,Midtown,3,16,104.26,1
FRD0103,ACC0061,622.84,2024-05-31,10:53:03,Grocery,Eastside,Overseas,1328,4,389.13,0
FRD0104,ACC0081,713.17,2024-06-27,18:07:05,Gas Station,Unknown,Downtown,193,2,59.14,0
FRD0105,ACC0057,7372.21,2024-05-08,09:39:40,Wire Transfer,Overseas,Unknown,3,20,144.44,1
FRD0106,ACC0080,705.15,2024-06-22,07:55:38,Shopping,Airport,Downtown,1328,1,189.62,0
FRD0107,ACC0087,7749.34,2024-05-04,14:33:21,Wire Transfer,Overseas,Eastside,1,14,275.14,1
FRD0108,ACC0017,202.09,2024-07-21,16:16:22,Restaurant,Airport,Unknown,150,1,90.01,0
FRD0109,ACC0075,380.92,2024-06-25,16:41:48,Restaurant,Uptown,Overseas,1295,3,166.8,0
FRD0110,ACC0002,5931.64,2024-07-06,18:42:43,Wire Transfer,Overseas,Uptown,2,14,206.54,1
FRD0111,ACC0026,557.01,2024-05-09,10:12:42,Electronics,Airport,Airport,1244,3,319.57,0
FRD0112,ACC0054,186.19,2024-06-12,05:06:29,ATM,Downtown,Downtown,531,4,323.24,0
FRD0113,ACC0031,326.25,2024-07-01,23:49:52,Restaurant,Unknown,Overseas,73,3,34.65,0
FRD0114,ACC0046,780.49,2024-05-04,17:07:09,Grocery,Overseas,Westside,467,2,163.53,0
FRD0115,ACC0029,3348.81,2024-06-03,23:11:21,Wire Transfer,Overseas,Eastside,3,11,45.46,1
FRD0116,ACC0087,370.4,2024-05-18,12:41:50,Gas Station,Eastside,Midtown,817,3,340.63,0
FRD0117,ACC0068,9846.43,2024-07-19,13:56:45,Wire Transfer,Unknown,Midtown,2,25,138.33,1
FRD0118,ACC0048,242.4,2024-06-10,19:27:40,Electronics,Eastside,Eastside,364,3,146.17,0
FRD0119,ACC0081,634.89,2024-06-05,04:54:32,Shopping,Midtown,Airport,1319,1,108.69,0
FRD0120,ACC0050,7017.49,2024-07-22,16:23:31,ATM,Overseas,Airport,4,23,163.18,1
FRD0121,ACC0075,691.9,2024-06-21,20:58:50,Shopping,Eastside,Downtown,870,2,173.82,0
FRD0122,ACC0049,603.78,2024-07-13,05:59:53,Restaurant,Midtown,Overseas,664,4,273.85,0
FRD0123,ACC0030,333.07,2024-07-14,01:29:32,Shopping,Airport,Overseas,1078,3,158.32,0
FRD0124,ACC0004,675.66,2024-05-23,14:14:16,Gas Station,Midtown,Midtown,1110,1,399.36,0
FRD0125,ACC0030,543.33,2024-05-13,03:04:23,Restaurant,Overseas,Downtown,572,3,380.25,0
FRD0126,ACC0099,618.36,2024-07-27,08:12:45,Grocery,Westside,Uptown,637,3,398.07,0
FRD0127,ACC0052,189.79,2024-06-21,18:48:41,Shopping,Uptown,Downtown,489,4,139.85,0
FRD0128,ACC0076,678.18,2024-07-10,14:46:52,Gas Station,Midtown,Airport,938,4,128.5,0
FRD0129,ACC0058,650.22,2024-07-11,00:23:08,Shopping,Downtown,Uptown,786,3,135.98,0
FRD0130,ACC0055,630.43,2024-07-27,12:48:49,Electronics,Downtown,Westside,344,2,489.3,0
FRD0131,ACC0043,60.33,2024-07-12,20:51:38,Shopping,Eastside,Unknown,851,2,253.15,0
FRD0132,ACC0043,8586.3,2024-07-12,14:40:57,Wire Transfer,Overseas,Westside,2,9,254.88,1
FRD0133,ACC0078,172.65,2024-07-02,00:11:12,Gas Station,Unknown,Midtown,656,1,243.69,0
FRD0134,ACC0048,433.8,2024-07-06,00:10:20,Restaurant,Midtown,Unknown,1039,1,212.83,0
FRD0135,ACC0027,7668.67,2024-05-17,06:19:27,ATM,Overseas,Airport,4,16,92.44,1
FRD0136,ACC0019,375.53,2024-06-27,02:52:25,Shopping,Airport,Eastside,140,1,165.32,0
FRD0137,ACC0059,206.82,2024-06-14,22:53:45,Shopping,Uptown,Westside,1325,4,245.18,0
FRD0138,ACC0085,709.58,2024-05-24,22:36:06,Restaurant,Downtown,Unknown,383,3,444.8,0
FRD0139,ACC0069,105.77,2024-06-07,21:58:04,Electronics,Unknown,Eastside,815,1,385.04,0
FRD0140,ACC0065,31.11,2024-06-11,13:28:10,Shopping,Downtown,Westside,1368,4,209.14,0
FRD0141,ACC0096,539.53,2024-06-21,06:25:02,Gas Station,Uptown,Downtown,1010,4,246.84,0
FRD0142,ACC0011,10336.41,2024-07-10,21:15:45,ATM,Overseas,Airport,2,8,197.82,1
FRD0143,ACC0023,8612.52,2024-06-07,03:34:47,Wire Transfer,Overseas,Unknown,2,22,133.1,1
FRD0144,ACC0028,555.37,2024-05-05,21:34:13,Shopping,Midtown,Airport,969,1,311.16,0
FRD0145,ACC0007,22.67,2024-06-18,06:59:15,Grocery,Eastside,Overseas,117,1,188.44,0
FRD0146,ACC0025,141.97,2024-07-27,21:04:14,ATM,Uptown,Midtown,911,1,413.34,0
FRD0147,ACC0042,105.44,2024-07-11,20:12:39,Shopping,Unknown,Eastside,497,1,197.59,0
FRD0148,ACC0023,62.15,2024-05-02,12:41:20,Restaurant,Airport,Downtown,630,3,50.65,0
FRD0149,ACC0028,433.58,2024-06-22,09:49:38,ATM,Midtown,Airport,1225,2,148.41,0
FRD0150,ACC0013,148.51,2024-07-16,10:40:44,Gas Station,Uptown,Unknown,711,4,61.73,0
FRD0151,ACC0003,26.76,2024-07-17,18:28:24,Restaurant,Downtown,Eastside,314,3,141.11,0
FRD0152,ACC0055,129.82,2024-06-01,19:05:03,Restaurant,Westside,Uptown,478,1,141.89,0
FRD0153,ACC0093,8257.82,2024-07-16,14:47:56,ATM,Overseas,Overseas,1,24,245.86,1
FRD0154,ACC0054,201.38,2024-07-22,09:48:01,Gas Station,Overseas,Eastside,1164,1,456.12,0
FRD0155,ACC0086,264.09,2024-06-01,21:44:46,Electronics,Unknown,Eastside,965,1,60.37,0
FRD0156,ACC0063,147.2,2024-05-09,06:03:40,Grocery,Uptown,Uptown,1184,2,141.07,0
FRD0157,ACC0011,149.38,2024-06-24,23:29:19,Shopping,Eastside,Uptown,569,3,164.12,0
FRD0158,ACC0058,5681.57,2024-07-21,06:17:55,ATM,Overseas,Airport,2,23,154.76,1
FRD0159,ACC0065,611.92,2024-07-18,23:27:48,Grocery,Airport,Uptown,935,1,386.66,0
FRD0160,ACC0039,368.35,2024-07-16,17:09:35,Gas Station,Airport,Uptown,828,4,63.81,0
FRD0161,ACC0018,6660.26,2024-06-30,06:09:58,ATM,Overseas,Eastside,4,20,292.33,1
FRD0162,ACC0048,314.01,2024-06-19,15:19:41,Grocery,Downtown,Midtown,1218,2,121.29,0
FRD0163,ACC0056,55.59,2024-06-02,23:22:32,ATM,Overseas,Airport,849,4,375.76,0
FRD0164,ACC0032,535.88,2024-07-01,01:58:52,ATM,Downtown,Overseas,362,3,314.55,0
FRD0165,ACC0088,8266.17,2024-05-19,08:15:38,Wire Transfer,Overseas,Uptown,4,20,223.58,1
FRD0166,ACC0011,248.75,2024-07-06,06:56:27,ATM,Westside,Uptown,1151,4,305.46,0
FRD0167,ACC0094,222.53,2024-06-22,23:55:05,Restaurant,Overseas,Midtown,489,4,358.53,0
FRD0168,ACC0001,339.31,2024-05-22,15:00:06,Electronics,Unknown,Midtown,650,4,110.2,0
FRD0169,ACC0048,6231.94,2024-05-24,22:08:12,Wire Transfer,Overseas,Airport,2,13,92.24,1
FRD0170,ACC0096,141.24,2024-05-24,06:16:57,ATM,Midtown,Unknown,660,1,207.53,0
FRD0171,ACC0036,58.23,2024-05-09,10:01:37,Grocery,Midtown,Eastside,74,1,75.52,0
FRD0172,ACC0067,487.45,2024-05-01,12:38:33,Gas Station,Airport,Westside,749,3,350.47,0
FRD0173,ACC0044,699.73,2024-06-10,07:23:42,Gas Station,Downtown,Unknown,265,1,244.75,0
FRD0174,ACC0090,10624.56,2024-06-21,23:53:56,Wire Transfer,Overseas,Uptown,3,15,135.79,1
FRD0175,ACC0080,766.46,2024-07-27,21:55:30,ATM,Downtown,Unknown,719,1,327.88,0
FRD0176,ACC0006,348.05,2024-06-11,21:28:14,Gas Station,Midtown,Airport,1035,1,375.11,0
FRD0177,ACC0038,4664.16,2024-07-17,06:45:09,Wire Transfer,Overseas,Downtown,4,13,273.07,1
FRD0178,ACC0015,353.57,2024-07-01,21:34:15,Grocery,Midtown,Eastside,119,2,466.63,0
FRD0179,ACC0042,117.25,2024-06-19,08:14:46,ATM,Midtown,Westside,1154,4,72.51,0
FRD0180,ACC0089,596.94,2024-06-12,07:59:36,ATM,Unknown,Midtown,841,4,409.97,0
FRD0181,ACC0029,9318.49,2024-06-03,03:18:05,Wire Transfer,Unknown,Midtown,1,19,73.13,1
FRD0182,ACC0041,10394.75,2024-06-18,18:47:00,Wire Transfer,Unknown,Westside,4,18,240.53,1
FRD0183,ACC0087,7152.08,2024-05-17,16:42:38,Wire Transfer,Overseas,Eastside,4,18,77.62,1
FRD0184,ACC0038,535.63,2024-05-29,15:43:29,ATM,Uptown,Uptown,130,3,175.18,0
FRD0185,ACC0089,240.28,2024-05-16,08:54:45,Shopping,Eastside,Airport,831,1,491.14,0
FRD0186,ACC0043,686.86,2024-05-20,22:13:54,Restaurant,Downtown,Eastside,862,3,492.66,0
FRD0187,ACC0085,608.59,2024-05-21,00:35:25,Gas Station,Airport,Overseas,860,1,278.09,0
FRD0188,ACC0037,9398.8,2024-06-06,22:59:12,ATM,Overseas,Unknown,1,17,158.96,1
FRD0189,ACC0021,182.33,2024-07-13,04:28:44,Restaurant,Uptown,Airport,460,1,200.25,0
FRD0190,ACC0074,674.91,2024-05-14,21:50:54,ATM,Unknown,Uptown,175,1,197.12,0
FRD0191,ACC0061,580.81,2024-05-23,01:07:32,ATM,Uptown,Overseas,561,1,85.84,0
FRD0192,ACC0051,793.02,2024-07-02,09:44:38,ATM,Unknown,Uptown,1433,1,395.53,0
FRD0193,ACC0084,75.28,2024-06-18,08:40:41,Grocery,Midtown,Airport,1061,2,40.82,0
FRD0194,ACC0074,392.51,2024-07-13,15:17:44,Shopping,Uptown,Midtown,1380,4,170.23,0
FRD0195,ACC0017,449.29,2024-05-13,10:04:45,Shopping,Downtown,Uptown,1158,4,60.05,0
FRD0196,ACC0075,719.11,2024-07-08,22:52:50,ATM,Eastside,Midtown,430,2,32.5,0
FRD0197,ACC0058,212.84,2024-06-10,03:02:08,Electronics,Midtown,Eastside,131,1,490.57,0
FRD0198,ACC0065,247.47,2024-06-08,11:34:10,Restaurant,Downtown,Unknown,1123,3,339.8,0
FRD0199,ACC0057,435.19,2024-05-18,18:31:44,Electronics,Overseas,Overseas,489,1,341.43,0
FRD0200,ACC0006,485.69,2024-05-31,01:12:09,Restaurant,Eastside,Westside,502,3,160.38,0
FRD0201,ACC0094,370.29,2024-07-19,13:04:35,Shopping,Uptown,Westside,580,4,471.89,0
FRD0202,ACC0019,303.99,2024-07-08,06:04:40,ATM,Eastside,Westside,1406,2,227.25,0
FRD0203,ACC0020,7080.44,2024-06-10,13:24:01,Wire Transfer,Overseas,Eastside,4,10,125.63,1
FRD0204,ACC0012,17.79,2024-06-16,10:49:17,Gas Station,Eastside,Uptown,832,2,207.96,0
FRD0205,ACC0014,427.88,2024-05-16,05:33:46,Grocery,Airport,Westside,1231,3,289.22,0
FRD0206,ACC0078,6507.05,2024-05-13,01:10:20,Electronics,Overseas,Unknown,2,16,42.47,1
FRD0207,ACC0066,735.57,2024-05-20,21:08:09,Grocery,Westside,Unknown,1369,3,362.53,0
FRD0208,ACC0032,9883.92,2024-07-26,19:26:45,ATM,Overseas,Airport,3,16,287.68,1
FRD0209,ACC0067,677.74,2024-05-30,09:40:54,Gas Station,Unknown,Midtown,1359,1,66.05,0
FRD0210,ACC0031,770.11,2024-05-12,05:36:03,Grocery,Airport,Midtown,928,2,255.44,0
FRD0211,ACC0066,15.76,2024-07-27,21:56:34,ATM,Eastside,Midtown,930,3,144.79,0
FRD0212,ACC0095,744.85,2024-07-24,16:43:38,ATM,Uptown,Downtown,1132,2,112.16,0
FRD0213,ACC0047,776.09,2024-05-18,16:22:03,Gas Station,Uptown,Unknown,752,2,420.91,0
FRD0214,ACC0099,508.63,2024-05-16,09:19:30,ATM,Downtown,Westside,866,2,463.84,0
FRD0215,ACC0083,7963.07,2024-07-05,01:59:29,Wire Transfer,Overseas,Airport,3,17,132.01,1
FRD0216,ACC0001,6666.48,2024-06-14,23:11:25,Electronics,Overseas,Overseas,1,24,173.72,1
FRD0217,ACC0020,3874.0,2024-06-22,03:58:31,ATM,Overseas,Downtown,4,19,117.81,1
FRD0218,ACC0055,120.5,2024-05-24,17:51:17,Restaurant,Airport,Midtown,948,1,198.84,0
FRD0219,ACC0091,9311.2,2024-05-26,03:12:18,Electronics,Overseas,Downtown,1,13,213.21,1
FRD0220,ACC0062,603.36,2024-07-25,08:07:26,Gas Station,Uptown,Airport,878,4,91.77,0
FRD0221,ACC0014,545.87,2024-05-03,04:09:22,Grocery,Eastside,Downtown,760,4,488.93,0
FRD0222,ACC0095,497.91,2024-05-02,13:30:18,Restaurant,Unknown,Westside,1107,2,147.25,0
FRD0223,ACC0099,8862.02,2024-05-15,08:44:15,Wire Transfer,Overseas,Unknown,2,14,298.06,1
FRD0224,ACC0076,4375.55,2024-07-20,20:09:14,Wire Transfer,Overseas,Midtown,2,12,150.84,1
FRD0225,ACC0079,510.31,2024-05-26,02:55:03,ATM,Westside,Unknown,533,2,188.0,0
FRD0226,ACC0062,231.64,2024-05-08,16:27:41,Gas Station,Westside,Downtown,778,4,146.08,0
FRD0227,ACC0007,727.7,2024-05-24,01:00:03,Gas Station,Airport,Overseas,266,4,116.87,0
FRD0228,ACC0063,294.85,2024-06-16,10:19:07,Gas Station,Uptown,Midtown,800,3,141.98,0
FRD0229,ACC0036,1930.91,2024-05-27,18:24:05,Wire Transfer,Overseas,Midtown,2,14,223.21,1
FRD0230,ACC0013,579.41,2024-05-10,17:39:21,Electronics,Eastside,Westside,149,2,120.1,0
FRD0231,ACC0071,63.49,2024-06-02,17:22:57,Shopping,Midtown,Overseas,918,1,108.46,0
FRD0232,ACC0036,653.48,2024-07-29,04:18:02,ATM,Eastside,Downtown,1073,1,107.79,0
FRD0233,ACC0097,155.41,2024-07-05,12:35:49,Restaurant,Westside,Unknown,387,2,308.29,0
FRD0234,ACC0002,569.52,2024-07-05,14:32:45,Gas Station,Eastside,Westside,1190,1,110.42,0
FRD0235,ACC0006,223.64,2024-07-08,07:18:02,Restaurant,Westside,Uptown,165,2,495.08,0
FRD0236,ACC0027,75.76,2024-07-08,03:00:41,Gas Station,Overseas,Overseas,1184,3,369.38,0
FRD0237,ACC0053,772.53,2024-07-18,09:20:03,ATM,Eastside,Downtown,421,3,486.65,0
FRD0238,ACC0069,511.1,2024-07-24,18:06:46,ATM,Westside,Unknown,1188,2,413.92,0
FRD0239,ACC0029,9163.03,2024-06-11,08:13:37,Wire Transfer,Unknown,Unknown,4,19,78.57,1
FRD0240,ACC0062,460.03,2024-05-12,15:11:29,Restaurant,Uptown,Uptown,429,3,39.89,0
FRD0241,ACC0021,5977.15,2024-05-23,12:43:38,Wire Transfer,Overseas,Eastside,4,20,66.06,1
FRD0242,ACC0068,26.37,2024-05-18,23:48:51,Shopping,Unknown,Downtown,87,1,92.12,0
FRD0243,ACC0099,438.47,2024-05-11,08:09:40,Grocery,Downtown,Downtown,753,1,125.09,0
FRD0244,ACC0062,54.14,2024-07-12,14:52:10,Restaurant,Uptown,Westside,607,1,39.97,0
FRD0245,ACC0006,1752.01,2024-05-14,17:18:06,Wire Transfer,Unknown,Unknown,4,20,78.32,1
FRD0246,ACC0084,143.95,2024-06-06,07:58:56,Shopping,Midtown,Unknown,285,2,77.82,0
FRD0247,ACC0037,487.56,2024-06-15,02:39:21,Grocery,Midtown,Midtown,424,4,279.33,0
FRD0248,ACC0077,701.57,2024-05-24,21:27:09,Gas Station,Westside,Westside,615,4,341.01,0
FRD0249,ACC0034,126.75,2024-05-10,00:55:59,Gas Station,Uptown,Uptown,974,4,412.89,0
FRD0250,ACC0015,3409.66,2024-07-13,13:46:17,Wire Transfer,Unknown,Uptown,4,19,123.02,1
FRD0251,ACC0055,5523.44,2024-07-01,22:26:38,Wire Transfer,Unknown,Overseas,4,25,178.78,1
FRD0252,ACC0069,78.93,2024-07-08,07:24:05,ATM,Eastside,Unknown,800,1,125.54,0
FRD0253,ACC0003,5289.01,2024-06-16,17:30:08,ATM,Overseas,Midtown,2,17,159.7,1
